Date,Change in private inventories,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,"Entertainment, literary, and artistic originals",Equipment,Exports,Farm,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Fixed investment,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross investment,Gross output of nonprofit institutions,Gross private domestic investment,Health care,Household consumption expenditures (for services),Housing and utilities,Imports,Industrial equipment,Information processing equipment,Intellectual property products,Less: Receipts from sales of goods and services by nonprofit institutions,Motor vehicles and parts,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonfarm,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Services,Software,State and local,Structures,Transportation equipment,Transportation services
1956-04-01,-1.17,0.06,,0.45333333333333337,0.06,-0.02,0.1,1.21,-0.15,1.48,,,0.59,-0.2,,0.37,0.0,0.37000000000000005,1.89,0.17666666666666667,,-0.58,,,,0.05,0.15,0.37,0.18,,-0.52,1.27,1.25,0.21,-0.32,-1.01,0.74,0.37,0.06,-0.28,-0.17,,0.78,,0.16,0.2,-0.15,0.3066666666666667,,0.4,0.46,-0.15,
1956-07-01,-0.57,0.18,,-0.44333333333333336,-0.64,0.02,0.26,0.62,0.06,-0.85,,,-0.04,0.04,,-0.29,-0.17,0.013333333333333327,-0.68,0.21333333333333335,,-0.61,,,,-0.2,0.59,-0.15,0.11,,-0.46,-0.09,0.43,-0.76,0.02,-0.64,0.39,-0.15,0.08,0.22,-0.03,,0.51,,0.03,0.09,-0.43,0.30000000000000004,,0.16,0.02,-0.4,
1956-10-01,-0.21,-0.04,,0.5499999999999999,1.14,0.05,-0.02,0.88,-0.02,1.97,,,-0.33,0.44,,0.0,0.24,0.8333333333333334,2.3,0.22,,-0.54,,,,0.75,-0.23,0.07,0.11,,1.0,1.54,1.63,0.43,0.79,-0.19,0.0,0.07,0.06,-0.31,0.15,,3.35,,0.08,0.06,-0.33,0.8300000000000001,,0.33,-0.09,0.44,
1957-01-01,-0.9,-0.26,,0.42,0.63,0.02,0.43,1.31,0.6,1.12,,,-0.06,0.4,,-0.15,0.14,0.6866666666666666,1.9,0.2133333333333333,,-0.96,,,,-1.33,0.02,0.06,-0.04,,0.97,0.46,-0.01,0.66,0.6,-1.5,0.23,0.06,-0.11,0.12,0.32,,1.65,,-0.09,-0.06,-0.29,-0.14333333333333334,,0.78,-0.16,0.23,
1957-04-01,0.49,-0.08,,-0.050000000000000024,-0.87,0.04,-0.07,-0.62,0.21,-0.68,,,-0.55,0.49,,-0.04,-0.16,-0.41333333333333333,-0.42,-0.09000000000000001,,-0.06,,,,-0.18,-0.03,0.29,0.01,,-0.63,0.43,-0.8,-1.12,0.39,0.28,-0.09,0.29,-0.1,-0.33,0.13,,0.41,,-0.1,-0.03,-0.47,0.2833333333333333,,0.26,-0.02,-0.01,
1957-07-01,0.75,0.44,,0.08333333333333333,-0.22,0.03,0.87,-0.56,0.56,0.4,,,0.68,0.48,,-0.08,0.23,0.26,0.86,0.20333333333333334,,1.43,,,,0.3,0.07,0.28,0.06,,-0.42,0.51,-0.26,-0.11,1.42,0.19,0.93,0.28,0.18,0.06,0.27,,1.94,,0.1,0.03,-0.25,0.2966666666666667,,0.47,0.0,0.46,
1957-10-01,-4.17,-0.48,,0.46,-0.38,-0.01,-0.94,-0.55,-0.2,0.79,,,-1.02,-0.11,,-0.29,-0.03,-0.8433333333333334,1.59,0.06999999999999999,,-5.18,,,,-0.06,-0.31,-0.35,0.02,,0.06,-0.55,-0.61,1.34,-0.6,-3.96,-0.99,-0.35,-0.04,-0.05,0.02,,0.13,,-0.11,0.03,-0.02,0.6833333333333332,,0.81,-0.08,-0.22,
1958-01-01,-0.72,-0.16,,-0.45,-2.23,-0.03,-2.44,-1.83,1.51,-1.53,,,-3.4,-0.38,,0.0,0.08,-1.22,-0.57,0.26333333333333336,,-4.12,,,,-0.22,-0.69,-0.2,0.02,,-2.19,-0.31,-2.05,-1.22,-0.83,-2.22,-2.69,-0.21,-0.07,-0.1,-0.37,,-3.25,,0.02,0.05,-0.71,-0.5499999999999999,,0.97,-0.27,-1.45,
1958-04-01,0.23,0.4,,0.6633333333333333,-0.5,0.03,-1.11,0.12,-0.21,1.89,,,-1.47,-0.07,,-0.2,0.36,0.023333333333333334,2.4,0.13999999999999999,,-1.24,,,,-0.75,-0.44,-0.21,0.07,,-0.16,0.59,-0.63,1.3,0.96,0.44,-1.54,-0.21,-0.03,0.24,0.27,,2.13,,-0.11,0.05,0.07,0.47,,0.5,-0.5,-0.71,
1958-07-01,3.51,0.45,,0.023333333333333334,0.68,0.02,-0.21,0.1,-0.24,-0.17,,,0.91,0.48,,0.42,0.2,0.8233333333333334,0.62,0.18333333333333335,,4.41,,,,0.18,-0.32,0.07,0.13,,0.02,0.02,0.28,-0.19,1.88,3.74,-0.41,0.07,0.08,0.25,0.74,,4.27,,0.15,0.11,1.32,0.6966666666666667,,0.79,-0.33,-0.21,
