Date,Average of GDP and GDI,Disposable personal income,Gross domestic income (GDI),Gross national income,Net domestic income
2019-07-01,3.5,2.7,2.3,2.0,2.0
2019-10-01,3.0,1.9,3.2,2.8,3.1
2020-01-01,-4.0,2.6,-2.4,-2.3,-3.5
2020-04-01,-29.3,46.0,-30.6,-31.5,-36.0
2020-07-01,31.9,-13.5,28.7,29.1,35.2
2020-10-01,9.6,-8.0,15.1,14.5,17.8
2021-01-01,4.9,57.6,4.2,4.1,4.4
2021-04-01,5.9,-27.7,5.3,4.3,5.7
2021-07-01,3.9,-4.5,4.4,4.5,4.7
2021-10-01,6.9,-4.5,6.4,6.8,7.1
2022-01-01,0.3,-10.9,1.7,0.9,1.4
2022-04-01,0.0,-1.8,-0.3,0.4,-1.0
2022-07-01,3.3,6.6,3.9,4.1,4.0
2022-10-01,1.0,3.8,-1.4,-1.9,-2.3
2023-01-01,2.3,10.9,1.7,1.1,1.4
2023-04-01,2.3,3.4,2.1,2.2,1.9
2023-07-01,3.5,1.4,2.7,2.6,2.6
2023-10-01,4.1,3.2,5.1,5.0,5.6
2024-01-01,2.3,5.6,3.0,2.7,3.0
2024-04-01,2.5,1.0,2.0,1.7,1.8
2024-07-01,2.2,0.2,1.4,0.7,1.0
2024-10-01,3.5,1.9,4.5,5.4,4.8
