Date,Economic affairs,Education,Elementary and secondary,Federal,General public service,Gross expenditures,Health,Health (net),Higher,Housing and community services,Income security,Less: Sales to other sectors,Libraries and other,National defense,Other economic affairs,Public order and safety,Recreation and culture,Space,State and local,Transportation
1982-01-01,-0.5566666666666666,-0.06,-0.15,1.73,0.14666666666666667,0.22,0.0050000000000000044,0.13,0.1,-0.08,-0.03333333333333333,-0.09,-0.03,2.28,-0.34,0.21333333333333335,0.0,-0.03,0.06,-0.19666666666666668
1983-01-01,0.37333333333333335,0.25333333333333335,0.32,3.05,0.18000000000000002,-0.09,0.205,-0.17,0.06,-0.09999999999999999,0.06666666666666667,-0.09,-0.03,2.38,0.03,0.043333333333333335,-0.013333333333333334,0.07,0.68,0.3
1984-01-01,0.18000000000000002,0.3566666666666667,0.39,1.57,0.09333333333333334,0.05,0.255,0.14,0.1,0.09999999999999999,0.043333333333333335,0.09,0.02,1.78,-0.3333333333333333,0.14666666666666667,0.02,-0.02,1.94,0.52
1985-01-01,0.7799999999999999,0.64,0.64,3.81,0.45,0.22,0.16,0.14,0.3,0.08,0.03333333333333333,-0.08,0.04,3.04,0.42,0.24666666666666667,0.04666666666666667,0.06,2.86,0.32666666666666666
1986-01-01,0.32666666666666666,0.7466666666666667,0.85,2.89,0.34,0.16,0.13,0.07,0.23,0.14666666666666667,0.003333333333333334,-0.09,0.03,2.48,0.22,0.25333333333333335,0.04,-0.03,2.54,0.13333333333333333
1987-01-01,-0.22,0.19999999999999998,0.32,1.79,0.22,0.17,0.22999999999999998,0.16,-0.06,0.10666666666666667,0.04,0.0,0.03,1.76,-0.29333333333333333,0.19999999999999998,0.006666666666666667,0.09,1.11,0.016666666666666666
1988-01-01,-0.32,0.7866666666666666,0.87,-0.73,-0.026666666666666672,0.2,0.21,0.2,0.28,0.02,0.026666666666666672,0.0,0.04,-0.18,-0.5266666666666667,0.24,0.013333333333333334,0.12,1.97,0.12333333333333334
1989-01-01,0.48666666666666664,0.6133333333333334,0.63,0.75,0.16666666666666666,0.29,0.24,0.26,0.23,0.01,0.09333333333333334,-0.03,0.05,-0.11,0.29333333333333333,0.3133333333333333,0.04,0.2,2.09,0.05666666666666667
1990-01-01,0.5533333333333333,0.45999999999999996,0.55,0.99,0.2866666666666667,0.33,0.275,0.29,0.12,0.09000000000000001,0.10666666666666667,-0.04,0.02,0.09,0.16666666666666666,0.25333333333333335,0.04666666666666667,0.19,2.21,0.25333333333333335
1991-01-01,0.006666666666666668,0.3,0.34,0.03,0.13999999999999999,0.3,0.195,0.13,0.1,0.05333333333333334,0.08,-0.17,-0.01,-0.29,-0.12,0.22333333333333336,0.016666666666666666,0.05,1.17,0.09000000000000001
