Date,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross private domestic investment,Imports,Intellectual property products,National defense,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1974-10-01,10.768,11.98,11.39,51.459,20.684,15.055333333333332,49.52,30.749,21.414,10.183,6.077,60.002,39.31,37.009,15.712,28.003,44.831,18.71466666666667,48.462,65.357
1975-01-01,10.998,11.109,11.469,50.917,19.51,14.746,50.059,30.374,17.965,9.162,6.041,59.45,38.779,37.08,14.815,28.238,42.301,18.835666666666665,49.896,62.0
1975-04-01,11.212,10.878,11.135,50.412,19.288,14.499,49.636,30.591,17.43,8.429,6.006,58.283,39.197,37.901,14.459,28.702,43.493,18.877666666666666,49.537,59.669
1975-07-01,11.912,11.014,10.947,51.712,19.76,15.034333333333334,50.564,31.115,18.781,9.129,6.093,60.444,39.292,38.272,14.613,29.11,46.36,18.31833333333333,50.17,60.01
1975-10-01,12.258,11.178,11.566,51.884,20.154,15.466333333333333,51.007,31.534,19.305,9.616,6.246,60.324,39.868,38.179,14.788,29.423,48.346,18.813666666666666,50.841,60.054
1976-01-01,12.871,11.323,11.486,51.369,20.977,15.883333333333333,51.087,32.244,21.168,10.217,6.509,59.501,39.79,38.952,15.104,30.011,52.93,19.101666666666667,51.413,61.676
1976-04-01,12.929,11.536,11.602,51.193,21.323,16.172,50.518,32.48,22.006,10.66,6.683,59.225,39.756,39.551,15.305,30.287,54.235,19.329,50.513,61.491
1976-07-01,13.076,11.851,11.939,51.271,21.563,16.499666666666666,50.37,32.658,22.082,11.096,6.854,59.298,39.84,39.854,15.64,30.606,53.388,19.736,50.177,62.115
1976-10-01,13.283,12.185,12.06,51.382,22.587,16.802333333333333,50.339,32.894,22.248,11.466,6.984,59.087,40.404,40.273,15.942,31.003,59.85,19.915333333333333,50.027,62.309
1977-01-01,13.785,12.968,11.866,51.734,23.366,17.018666666666665,50.767,33.284,23.278,12.003,7.062,59.628,40.485,40.247,16.523,31.369,61.63,20.104,50.523,62.095
1977-04-01,14.111,13.299,12.186,52.391,24.583,17.219333333333335,51.232,33.93,24.947,12.117,7.179,60.145,41.342,40.244,16.979,31.539,68.392,20.362333333333336,50.832,64.417
1977-07-01,14.319,13.63,12.28,52.914,24.897,17.268666666666665,51.438,34.542,26.21,11.95,7.252,60.469,42.147,40.443,17.318,31.837,68.189,20.434,50.779,65.392
1977-10-01,14.62,14.276,11.887,52.548,25.325,17.352,51.315,34.543,25.552,12.12,7.32,59.138,43.155,41.312,17.845,32.316,67.381,20.637,50.856,65.863
1978-01-01,14.232,14.48,12.167,52.585,25.554,17.624,51.328,34.653,26.05,12.932,7.378,59.29,43.03,41.488,18.001,32.497,68.009,21.317333333333334,50.849,65.737
1978-04-01,15.293,15.616,13.436,53.602,27.3,18.441333333333333,52.615,35.993,27.742,12.972,7.601,60.218,44.18,41.808,19.396,33.192,71.263,21.495666666666665,52.375,72.166
1978-07-01,15.087,15.918,13.583,53.952,28.039,18.519666666666666,53.101,36.355,28.55,13.141,7.806,60.52,44.603,42.132,20.054,33.331,72.085,21.845,52.979,76.925
1978-10-01,15.206,16.344,14.122,54.408,28.653,18.862,53.579,36.843,29.211,13.321,8.074,60.862,45.227,42.675,20.702,33.6,71.949,22.195333333333334,53.481,80.143
1979-01-01,15.026,16.931,14.134,54.328,28.906,18.836000000000002,53.049,36.909,29.259,13.285,8.36,60.923,44.943,42.864,21.178,33.774,70.202,22.340999999999998,52.572,79.695
1979-04-01,14.686,16.687,14.17,54.879,28.738,18.791666666666668,53.566,36.949,29.233,13.357,8.546,61.831,44.977,42.781,21.158,33.752,68.964,22.427000000000003,53.067,80.849
1979-07-01,15.096,17.054,14.68,55.005,29.241,19.100333333333335,53.722,37.223,28.74,13.153,8.725,61.865,45.239,43.282,21.783,34.081,68.123,22.415000000000003,53.25,84.618
1979-10-01,14.707,16.789,15.604,55.066,28.97,19.517333333333333,54.076,37.316,28.231,13.44,8.832,62.318,44.72,43.511,21.843,34.166,65.4,22.64233333333333,53.847,87.209
1980-01-01,14.476,16.913,16.039,56.536,28.59,19.674333333333333,54.87,37.434,28.038,13.449,8.958,63.791,46.193,43.489,22.081,34.117,60.367,22.560000000000002,54.099,88.557
1980-04-01,12.914,15.703,16.342,57.653,26.246,19.004,54.978,36.663,25.654,12.473,8.951,63.634,49.205,42.901,21.06,33.349,49.174,22.50866666666667,53.382,86.614
1980-07-01,13.487,15.82,16.307,56.989,26.564,18.733999999999998,54.229,36.619,23.96,11.575,9.019,63.765,47.357,42.795,21.198,33.714,50.684,22.71366666666667,52.555,87.045
1980-10-01,13.898,16.049,16.208,57.277,27.568,19.011333333333333,54.217,37.302,26.194,12.196,9.249,64.652,46.758,42.963,21.641,34.17,55.412,23.081,52.297,89.606
1981-01-01,14.293,16.48,16.513,58.401,27.824,19.352333333333334,54.942,38.033,28.618,12.716,9.704,66.098,47.411,43.342,22.081,34.284,54.057,23.608666666666664,52.707,89.552
1981-04-01,13.736,16.618,16.602,59.898,28.046,19.299666666666667,55.048,37.751,27.432,12.735,9.928,67.709,48.752,43.535,22.53,34.287,52.335,23.784333333333336,51.699,92.926
1981-07-01,14.154,16.997,16.249,59.653,28.058,19.211666666666666,54.859,38.203,28.978,12.589,10.118,68.012,47.687,43.631,23.053,34.445,48.273,23.66433333333333,51.551,95.27
1981-10-01,13.138,16.788,16.323,60.723,27.968,19.192666666666668,55.556,37.787,27.958,12.95,10.367,69.784,47.713,43.798,23.59,34.21,43.233,23.744,51.954,102.279
1982-01-01,13.558,16.405,15.615,60.764,27.194,18.872666666666667,55.493,37.2,25.313,12.58,10.53,70.501,46.734,43.879,23.097,34.462,40.739,23.805666666666667,51.808,99.028
1982-04-01,13.608,15.714,15.708,61.015,26.341,18.822,55.704,37.369,25.294,12.374,10.633,71.812,45.383,43.804,22.377,34.567,39.422,24.052333333333333,51.989,95.801
1982-07-01,13.718,15.407,15.011,62.019,25.715,18.811666666666667,56.151,37.226,25.062,12.948,10.711,73.318,45.641,43.991,21.734,34.799,39.384,24.058666666666664,51.99,90.52
1982-10-01,14.344,15.116,14.324,63.482,25.73,18.552666666666667,57.017,37.241,23.125,12.44,10.718,74.883,46.968,44.442,21.359,35.408,42.503,24.268,52.384,88.465
1983-01-01,14.489,15.011,14.555,64.482,26.31,18.80966666666667,57.565,37.732,23.926,12.725,10.915,75.603,48.412,44.586,21.04,35.758,49.811,24.404666666666667,52.573,84.855
1983-04-01,15.546,15.766,14.598,65.685,27.302,19.398333333333333,58.039,38.591,26.045,13.703,11.271,77.222,48.997,45.111,21.332,36.486,55.611,25.064999999999998,52.469,80.827
1983-07-01,16.143,16.656,14.818,67.38,28.833,20.07766666666667,59.04,39.362,27.675,14.771,11.662,78.002,52.116,45.797,22.23,37.141,61.041,25.552666666666667,52.927,82.717
1983-10-01,16.939,18.118,15.116,65.202,30.441,20.718666666666667,58.095,40.183,30.368,15.495,12.108,79.753,43.862,46.355,23.574,37.732,63.618,25.766333333333332,52.958,85.02
1984-01-01,17.578,18.434,15.431,65.755,31.397,21.226333333333333,58.711,40.969,33.303,16.741,12.489,80.033,44.845,46.473,24.324,38.046,65.524,27.114333333333335,53.63,89.853
1984-04-01,17.986,19.344,15.815,67.747,32.624,21.782666666666668,59.986,41.677,34.386,17.442,12.883,80.997,48.449,47.489,25.458,38.579,66.669,27.823666666666668,54.345,94.364
1984-07-01,17.992,19.95,16.164,67.685,33.272,22.086000000000002,60.472,42.078,35.13,17.894,13.231,80.899,48.44,47.525,26.239,38.865,65.889,28.291666666666668,55.273,97.341
1984-10-01,18.576,20.538,16.493,69.854,33.867,22.544333333333338,61.741,42.424,34.674,18.418,13.632,84.205,48.886,47.891,26.856,39.368,65.954,28.847666666666665,55.833,98.348
1985-01-01,19.221,20.356,16.537,70.493,34.172,22.535666666666668,62.414,42.835,33.723,18.012,13.832,84.758,49.666,48.183,27.157,40.037,66.111,29.395333333333337,56.538,102.515
1985-04-01,19.45,20.8,16.501,72.35,34.611,22.926333333333332,63.799,43.212,34.298,18.897,14.116,87.317,50.478,48.559,27.546,40.405,66.67,29.64633333333333,57.562,102.458
1985-07-01,20.695,20.513,16.261,74.504,34.47,23.143333333333334,65.253,43.872,34.064,18.714,14.305,90.532,51.047,48.958,27.233,41.172,67.912,29.39233333333333,58.478,100.336
1985-10-01,19.982,20.896,16.746,74.547,35.125,23.497,65.522,44.198,35.32,19.447,14.684,91.123,50.257,49.395,27.726,41.261,69.393,29.709666666666667,58.924,101.586
1986-01-01,20.39,20.688,17.27,74.337,35.225,23.635666666666665,66.04,44.611,35.309,19.427,14.936,90.646,50.451,50.021,27.451,41.622,72.211,30.756333333333334,60.008,99.046
1986-04-01,21.11,20.944,17.456,76.744,35.233,24.356333333333335,67.416,44.812,34.693,20.254,15.171,94.252,51.077,50.466,26.894,42.075,76.359,30.28933333333333,60.595,89.714
