Date,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Gross domestic purchases excluding final sales of computers to domestic purchasers,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1974-04-01,1.3,-0.5000000000000003,,0.4,0.7,1.0,,1.5,1.0,,-13.1,0.2,-2.4,2.5,-4.8
1974-07-01,4.3,-0.8000000000000002,,-1.1,-7.1,-3.7,,-5.5,-3.8,,56.1,-17.2,-1.6,2.4,-16.0
1974-10-01,-0.9,-11.700000000000001,,-5.5,-2.2,-1.5,,0.1,-1.5,,-34.5,-3.4,-3.2,4.6,-23.4
1975-01-01,-32.6,4.533333333333333,,2.9,-13.9,-4.8,,-2.2,-4.8,,-56.1,9.5,-4.4,4.4,-9.1
1975-04-01,7.0,5.633333333333333,,3.9,3.0,2.9,,1.8,3.0,,44.3,-0.7,-0.4,5.4,-9.2
1975-07-01,15.1,6.6000000000000005,,3.8,14.8,7.0,,5.1,7.1,,76.0,14.5,4.9,-0.4,15.5
1975-10-01,5.1,4.166666666666667,,5.0,5.4,5.5,,5.9,5.5,,-5.5,5.7,6.8,3.8,14.5
1976-01-01,21.3,4.8999999999999995,,5.7,14.1,9.3,,7.3,9.3,,73.8,7.4,9.0,2.3,26.5
1976-04-01,10.1,2.2333333333333334,,1.3,6.3,3.0,,2.3,3.0,,19.3,2.6,3.2,2.0,-5.1
1976-07-01,8.4,4.7,,2.7,3.4,2.2,,2.8,2.2,,-9.5,-1.7,4.1,3.3,-7.1
1976-10-01,4.4,4.3999999999999995,,5.6,-2.1,2.9,,2.5,2.9,,13.6,-8.7,3.1,3.8,19.8
1977-01-01,8.6,2.9000000000000004,,3.9,5.1,4.8,,2.8,4.8,,58.0,1.3,4.8,3.7,8.8
1977-04-01,6.4,5.833333333333333,,6.4,9.8,8.0,,8.8,8.0,,-6.4,13.7,6.2,2.0,30.8
1977-07-01,10.3,5.866666666666667,,4.4,13.5,7.4,,7.4,7.5,,7.6,17.3,4.8,4.7,-1.6
1977-10-01,2.7,6.266666666666667,,3.3,-2.2,0.0,,0.1,-0.1,,-1.5,-7.4,4.7,2.6,-3.3
1978-01-01,3.5,-4.633333333333333,,0.4,-2.5,1.3,,2.1,1.2,,-15.6,-8.9,5.4,4.7,0.1
1978-04-01,30.5,25.733333333333334,178.4,16.5,25.3,16.4,15.9,15.1,16.6,12.4,47.8,19.4,8.8,4.8,40.3
1978-07-01,-1.9,2.2,81.9,3.8,2.9,4.1,3.7,4.9,4.1,3.9,-11.6,8.8,5.4,2.7,14.0
1978-10-01,23.3,8.966666666666667,85.3,5.3,9.4,5.5,5.2,4.6,5.5,4.4,27.3,-5.0,5.7,2.3,5.4
1979-01-01,6.0,3.0333333333333328,31.8,1.3,1.7,0.7,0.6,0.4,0.6,0.5,7.6,-3.3,5.5,3.6,-12.8
1979-04-01,-8.6,-2.6333333333333333,29.5,0.0,-2.0,0.4,0.3,2.9,0.3,0.4,-40.4,6.7,4.4,1.7,3.4
1979-07-01,0.0,13.533333333333333,72.4,6.0,5.7,3.0,2.7,4.5,3.0,1.0,-27.4,12.8,5.3,-0.3,7.3
1979-10-01,-0.6,0.43333333333333335,72.2,1.7,-1.4,1.0,0.6,2.1,0.9,-0.6,-25.1,-2.3,6.1,3.7,-1.4
1980-01-01,2.6,3.0,35.7,0.8,4.4,1.3,1.1,2.2,1.2,0.2,-23.4,6.5,3.7,1.4,-8.6
1980-04-01,-25.4,-7.400000000000001,82.2,-7.7,-9.9,-8.0,-8.4,-5.8,-8.2,-11.7,-57.4,11.2,2.1,1.0,-33.4
1980-07-01,-2.4,11.033333333333333,109.1,5.4,-4.3,-0.5,-1.0,-1.3,-0.6,-3.7,31.2,-6.2,4.0,2.3,1.0
1980-10-01,25.2,0.3333333333333333,32.9,3.8,10.3,7.7,7.5,5.6,7.7,10.1,99.3,-4.3,7.6,3.3,18.9
1981-01-01,9.7,4.166666666666667,45.4,1.7,21.7,8.1,7.8,8.6,8.1,8.9,-6.2,36.6,6.0,-0.1,0.5
1981-04-01,-4.3,0.06666666666666658,7.3,0.9,-9.5,-2.9,-3.0,-3.5,-3.1,-3.2,17.4,-15.0,2.8,3.4,-5.8
1981-07-01,2.8,4.233333333333333,40.0,0.5,15.9,4.9,4.6,5.7,4.8,5.0,-17.5,32.5,6.0,0.4,-10.9
1981-10-01,-20.1,-6.366666666666667,76.9,-1.8,-12.7,-4.3,-4.8,-3.3,-4.4,-3.9,-31.8,-4.0,1.6,1.6,1.8
1982-01-01,-13.3,0.7666666666666666,24.3,-0.9,-12.4,-6.1,-6.3,-5.6,-6.3,-5.8,-22.2,-11.5,4.4,1.5,-16.0
1982-04-01,11.2,1.1333333333333335,-19.6,-0.4,7.2,1.8,2.0,0.2,1.8,1.3,73.5,3.2,4.1,0.8,-11.2
1982-07-01,-5.5,-7.833333333333333,11.7,-2.6,-5.2,-1.5,-1.6,-1.7,-1.7,1.6,3.6,-5.0,4.8,3.3,-11.1
1982-10-01,-17.0,6.266666666666667,8.4,5.7,-8.2,0.2,0.1,1.6,0.1,0.2,-38.8,1.9,2.2,4.9,7.8
1983-01-01,0.6,1.4333333333333333,102.8,4.6,3.1,5.4,4.8,3.7,5.4,5.0,78.5,5.6,5.3,5.3,14.0
1983-04-01,48.4,7.2,72.0,6.0,16.7,9.4,9.0,8.8,9.4,11.6,28.8,-9.4,8.6,4.7,8.9
1983-07-01,18.0,6.7,72.7,7.8,8.1,8.2,7.7,6.2,8.3,10.1,84.1,-2.2,6.5,5.2,25.8
1983-10-01,28.4,13.133333333333333,24.0,5.5,22.4,8.6,8.4,6.9,8.6,9.5,59.3,15.6,9.4,-0.7,10.8
1984-01-01,13.5,0.3666666666666667,57.9,2.9,14.4,8.1,7.6,8.0,8.1,10.0,8.9,15.5,6.2,1.8,17.9
