Date,Actual employer and household contributions (5+7),Actual employer contributions,Actual household contributions,Administrative expenses,Benefit payments and withdrawals,Cash flow,Claims to benefits accrued through service to employers,Contributions,"Current expenditures, accrual basis","Current receipts, accrual basis",Dividends,Effect on personal income (1-7-9 or 15-7-9),Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets,Equals: Change in personal wealth,Equals: Effect on personal saving,Household pension contribution supplements,Imputed employer contributions,Imputed income payments on assets to persons,Imputed interest on plans' claims on employers,Income receipts on assets (including plans' claims on employers),Interest,Interest accrued on benefit entitlements,Less: Administrative expenses,Less: Benefit payments and withdrawals,Less: Benefit payments and withdrawals (20),Less: Effect on personal consumption expenditures (2),Less: Interest and dividend income received by plans (10),Less: Pension service charges,Monetary income receipts on assets (12+14),Monetary interest,Net change in benefit entitlements,Output,Plus: Household actual contributions (7),Plus: Implied funding of benefits from holding gains on assets
1986-01-01,41403.0,30355.0,11048.0,806.0,28443.0,51768.0,36807.0,107048.0,178095.0,178095.0,4959.0,96806.0,71727.0,89122.0,96000.0,70241.0,-3790.0,70241.0,30627.0,70241.0,65282.0,63363.0,806.0,28443.0,28443.0,806.0,70241.0,806.0,39614.0,34655.0,78605.0,806.0,11048.0,-6878.0
1987-01-01,42056.0,30437.0,11619.0,897.0,31161.0,53556.0,39378.0,113462.0,188443.0,188443.0,5704.0,102740.0,77515.0,97057.0,101843.0,74084.0,-1781.0,74084.0,30526.0,74084.0,68380.0,69298.0,897.0,31161.0,31161.0,897.0,74084.0,897.0,43558.0,37854.0,82301.0,897.0,11619.0,-4786.0
1988-01-01,43712.0,31203.0,12509.0,1032.0,34113.0,54923.0,42366.0,120271.0,199209.0,199209.0,7121.0,108794.0,83096.0,104700.0,107762.0,77906.0,-314.0,77906.0,31550.0,77906.0,70785.0,74844.0,1032.0,34113.0,34113.0,1032.0,77906.0,1032.0,46356.0,39235.0,86158.0,1032.0,12509.0,-3062.0
1989-01-01,45431.0,31982.0,13449.0,1257.0,36968.0,58643.0,51276.0,137734.0,225448.0,225448.0,8815.0,125542.0,92041.0,115560.0,124285.0,86458.0,7102.0,86458.0,35021.0,86458.0,77643.0,77733.0,1257.0,36968.0,36968.0,1257.0,86458.0,1257.0,51437.0,42622.0,100766.0,1257.0,13449.0,-8725.0
1990-01-01,47646.0,33036.0,14610.0,1417.0,40572.0,58923.0,57187.0,144520.0,233270.0,233270.0,10383.0,131327.0,100670.0,126632.0,129910.0,87333.0,10958.0,87333.0,34067.0,87333.0,76950.0,84055.0,1417.0,40572.0,40572.0,1417.0,87333.0,1417.0,53266.0,42883.0,103948.0,1417.0,14610.0,-3278.0
1991-01-01,48360.0,32961.0,15399.0,1615.0,44213.0,58628.0,62740.0,159700.0,258276.0,258276.0,11519.0,145916.0,111948.0,140762.0,144301.0,96960.0,15995.0,96960.0,40864.0,96960.0,85441.0,93420.0,1615.0,44213.0,44213.0,1615.0,96960.0,1615.0,56096.0,44577.0,115487.0,1615.0,15399.0,-3540.0
1992-01-01,49812.0,33802.0,16010.0,1776.0,48391.0,52807.0,75258.0,173923.0,274363.0,274363.0,12808.0,159689.0,125221.0,157602.0,157913.0,98664.0,27222.0,98664.0,45502.0,98664.0,85856.0,98354.0,1776.0,48391.0,48391.0,1776.0,98664.0,1776.0,53162.0,40354.0,125532.0,1776.0,16010.0,-311.0
1993-01-01,52997.0,36108.0,16889.0,2020.0,54007.0,52142.0,78753.0,180724.0,284715.0,284715.0,13355.0,165855.0,129750.0,166868.0,163835.0,101971.0,27776.0,101971.0,46799.0,101971.0,88616.0,105004.0,2020.0,54007.0,54007.0,2020.0,101971.0,2020.0,55172.0,41817.0,126717.0,2020.0,16889.0,3033.0
1994-01-01,57016.0,38967.0,18049.0,2212.0,59246.0,58152.0,82942.0,193273.0,305817.0,305817.0,13956.0,177436.0,136121.0,177318.0,175224.0,110332.0,28138.0,110332.0,47738.0,110332.0,96376.0,112425.0,2212.0,59246.0,59246.0,2212.0,110332.0,2212.0,62594.0,48638.0,134027.0,2212.0,18049.0,2094.0
1995-01-01,60949.0,41747.0,19202.0,2526.0,65476.0,64501.0,87742.0,212294.0,339371.0,339371.0,15111.0,195618.0,142982.0,189256.0,193092.0,124552.0,29319.0,124552.0,52998.0,124552.0,109441.0,120715.0,2526.0,65476.0,65476.0,2526.0,124552.0,2526.0,71554.0,56443.0,146818.0,2526.0,19202.0,-3836.0
