Date,Agricultural machinery,Aircraft,Autos,Communication equipment,Computers and peripheral equipment,Construction machinery,"Electrical equipment, n.e.c.","Electrical transmission, distribution, and industrial apparatus",Engines and turbines,Fabricated metal products,Furniture and fixtures,"General industrial, including materials handling, equipment",Industrial equipment,Information processing equipment,"Less: Sale of equipment scrap, excluding autos",Light trucks (including utility vehicles),Medical equipment and instruments,Metalworking machinery,Mining and oilfield machinery,Nonmedical instruments,Nonresidential equipment,Office and accounting equipment,Other,Other equipment,"Other trucks, buses, and truck trailers",Photocopy and related equipment,Railroad equipment,Residential equipment,Service industry machinery,Ships and boats,"Special industry machinery, n.e.c.",Transportation equipment,"Trucks, buses, and truck trailers"
2006-01-01,-0.2,-0.26,0.48,1.93,2.48,0.5,-0.02,0.43,0.18,0.24,0.06,0.49,1.73,5.08,-0.16,1.05,0.57,0.15,0.48,0.12,9.45,0.05,0.27,1.13,0.34,-0.07,0.12,0.02,0.03,-0.06,0.25,1.67,1.39
2007-01-01,-0.01,0.7,0.03,1.93,1.44,-0.23,-0.11,0.13,0.42,0.16,-0.32,-0.13,0.68,4.48,-0.09,-0.72,1.06,0.06,0.47,0.3,3.94,-0.51,-0.01,-0.18,-1.14,0.26,0.04,-0.03,0.02,0.15,0.04,-0.94,-1.86
2008-01-01,0.26,0.18,-1.41,0.68,0.79,0.17,0.01,-0.26,0.03,0.12,-0.3,-0.44,-0.91,1.82,-0.76,-2.78,0.2,-0.04,0.06,0.0,-4.73,0.06,-0.33,-0.34,-0.67,0.08,0.01,-0.03,-0.2,0.15,-0.33,-4.53,-3.45
2009-01-01,0.0,-1.34,-2.51,-0.64,0.18,-2.06,-0.14,-0.7,-0.26,-0.64,-1.27,-1.54,-4.99,-1.75,0.29,-4.38,-0.46,-0.95,-0.31,-0.56,-20.96,-0.11,-1.05,-5.06,-0.77,-0.16,-0.36,-0.08,-0.23,-0.1,-0.89,-9.45,-5.14
2010-01-01,-0.32,1.39,3.18,3.51,2.09,2.71,0.1,0.26,-0.44,-0.24,0.03,0.46,-0.03,6.81,-0.49,4.89,0.67,-0.05,0.45,0.43,19.98,-0.03,0.2,3.56,0.81,0.14,-0.03,0.13,0.39,-0.11,-0.01,10.12,5.7
2011-01-01,0.29,0.41,0.54,1.1,-0.02,-0.07,0.01,0.3,0.5,0.23,0.33,0.99,4.0,1.88,0.55,2.66,0.45,0.74,0.73,0.21,13.29,-0.01,0.43,1.9,1.11,0.15,0.3,0.1,0.18,-0.05,1.23,4.96,3.77
2012-01-01,1.1,0.06,1.82,1.04,1.08,0.23,0.11,0.16,0.5,0.22,0.15,0.64,1.81,3.19,-0.12,0.75,0.67,0.5,1.0,0.42,10.85,0.01,-0.5,2.26,0.57,-0.02,0.45,0.05,0.16,0.06,-0.2,3.7,1.32
2013-01-01,0.69,0.2,0.5,1.56,-0.06,-0.44,0.11,0.28,-0.26,-0.01,0.01,-0.15,-0.07,2.38,-0.06,1.35,0.88,-0.05,0.02,0.01,5.45,0.04,0.52,0.75,0.11,-0.05,0.13,0.13,-0.15,0.14,0.12,2.44,1.46
2014-01-01,0.07,0.49,-0.01,1.62,-0.02,0.48,-0.02,0.08,-0.08,0.15,0.15,0.35,1.02,2.1,0.2,1.34,0.19,0.12,0.41,0.26,7.82,0.07,0.46,1.79,0.58,-0.02,0.33,0.14,0.22,-0.02,0.4,2.71,1.92
2015-01-01,-1.01,0.07,0.14,1.93,0.0,-0.68,0.03,-0.03,0.04,0.0,0.25,0.24,0.2,2.35,0.67,1.81,0.46,0.05,-1.05,-0.06,3.75,0.03,0.25,-2.16,0.58,0.0,0.07,0.14,0.06,0.03,-0.11,2.7,2.39
2016-01-01,-0.68,-0.42,-0.79,1.63,-0.06,-0.14,-0.01,0.18,-0.1,-0.11,0.12,0.01,-0.07,1.78,0.1,1.38,0.25,-0.2,-0.62,-0.06,-0.85,-0.03,-0.02,-1.3,-1.05,0.06,-0.31,0.14,0.05,-0.18,0.16,-1.37,0.32
2017-01-01,-0.05,1.3,-1.41,1.53,0.54,0.06,-0.01,0.2,-0.06,-0.01,0.09,0.56,1.09,2.67,-0.1,-0.03,0.68,0.21,0.43,-0.05,3.75,-0.04,0.0,0.33,0.22,0.01,-0.38,0.13,-0.19,0.06,0.2,-0.23,0.19
2018-01-01,0.2,-0.13,-1.1,0.63,1.18,-0.14,0.07,0.39,-0.09,0.06,0.11,0.58,0.97,2.59,-0.13,1.85,0.57,0.11,0.46,0.21,5.84,-0.01,0.15,0.83,1.05,0.0,0.02,0.01,-0.01,-0.12,-0.08,1.57,2.89
