Date,"Automotive vehicles, engines, and parts","Capital goods, except automotive",Charges for the use of intellectual property n.e.c.,"Civilian aircraft, engines, and parts","Computers, peripherals, and parts","Consumer goods, except food and automotive",Durable goods,Exports of agricultural goods,Exports of durable goods,Exports of goods,Exports of goods and services,Exports of nonagricultural goods,Exports of nondurable goods,Exports of services,"Foods, feeds, and beverages",Government goods and services n.e.c.,Imports of durable goods,Imports of goods,Imports of goods and services,Imports of nondurable goods,Imports of nonpetroleum goods,Imports of services,Industrial supplies and materials,Nondurable goods,"Nondurable goods, excluding petroleum and products",Other,Other business services,Petroleum and products,Transport,Travel (for all purposes including education)
1984-10-01,-0.34999999999999964,20.1,12.6,61.7,23.5,3.3500000000000005,10.9,21.5,15.8,10.9,8.4,9.0,4.5,0.6,19.75,8.399999999999999,10.0,10.8,12.2,11.9,10.3,19.3,7.75,1.3999999999999995,23.6,13.5,25.400000000000002,13.9,5.4,7.5
1985-01-01,2.5,3.1500000000000004,-27.799999999999997,78.85,-2.750000000000001,3.749999999999999,-6.449999999999999,-38.1,5.6,-0.7,1.1,3.2,-9.3,7.2,-18.75,28.950000000000003,2.8,-11.9,-8.5,-29.5,2.3,8.7,-22.75,-10.075,-14.0,29.400000000000002,-11.9,-61.6,4.949999999999999,8.85
1985-04-01,24.35,10.6,-0.09999999999999964,71.9,3.3,-1.55,10.025,-35.8,11.9,-2.7,-0.9,3.2,-22.1,5.3,-16.85,-18.7,13.9,25.7,21.2,45.1,13.5,2.0,22.8,12.099999999999998,2.1000000000000005,15.166666666666666,-4.4,33.900000000000006,9.15,10.4
1985-07-01,23.0,-8.8,25.0,-42.1,13.65,-3.3,-9.5,-1.2,-9.1,-5.5,-5.7,-6.4,0.7,-6.2,-3.4499999999999997,-40.55,4.1,-1.4,-3.8,-9.0,1.7,-14.3,-3.2,1.6749999999999998,-5.0,-7.583333333333333,23.6,55.050000000000004,-5.75,-17.9
1985-10-01,-5.2,25.4,45.25,97.30000000000001,47.2,21.4,6.875000000000001,25.2,8.1,11.9,12.5,10.1,18.5,14.0,6.0,9.4,12.1,20.4,16.6,33.5,12.9,0.4,23.35,31.725,12.1,4.733333333333333,31.95,142.85,16.35,-19.15
1986-01-01,-12.7,6.65,15.499999999999998,-20.9,57.3,5.95,11.8,-5.8,1.6,0.3,13.1,1.3,-1.8,56.4,14.45,36.0,2.6,-3.1,-0.4,-11.4,3.1,13.2,-6.25,-2.8000000000000003,-1.5,-9.1,253.55,-30.55,-10.95,47.45
1986-04-01,28.5,27.2,39.6,166.6,46.2,19.7,19.9,-29.4,20.4,9.5,4.4,16.2,-6.9,-7.7,-10.0,-30.75,25.7,27.8,18.1,31.0,19.3,-17.0,17.55,15.625,-2.2,18.016666666666666,16.349999999999998,50.65,-9.25,-30.3
1986-07-01,-3.8499999999999996,2.1,1.9999999999999998,-23.85,40.3,8.95,-4.1,73.5,-4.5,7.5,9.5,1.0,31.2,14.9,24.1,-5.500000000000001,2.2,8.6,11.5,21.7,3.2,25.9,17.9,26.775,26.650000000000002,0.016666666666666902,0.3999999999999999,20.099999999999998,38.05,51.75
1986-10-01,-1.1500000000000004,11.45,1.0500000000000007,16.0,36.15,21.45,37.125,9.1,26.3,22.2,15.8,24.2,15.7,0.6,6.8,-20.75,3.1,2.7,3.1,1.9,6.5,5.3,9.4,4.424999999999999,9.950000000000001,21.71666666666667,2.9,27.599999999999998,3.3499999999999996,4.35
1987-01-01,5.65,-2.25,46.349999999999994,-15.950000000000001,42.150000000000006,-5.9,-16.35,-35.2,3.4,-2.6,0.3,2.5,-12.0,8.6,-8.049999999999999,100.6,-5.1,-6.2,-2.3,-8.0,-2.0,16.8,-21.8,-8.225,-11.65,13.033333333333333,14.200000000000001,-28.95,5.5,17.8
