Date,Aerospace products and parts manufacturing,All other nonmanufacturing,Books,Business,"Chemical manufacturing, excluding pharmaceutical and medicine",Computer systems design and related services,Custom,"Entertainment, literary, and artistic originals",Financial and real estate services,Long-lived television programs,Manufacturing,"Motor vehicles, bodies and trailers, and parts manufacturing",Music,Nonmanufacturing,Nonprofit institutions serving households,Other,Other computer and electronic product manufacturing,Other manufacturing,Other nonmanufacturing,Other nonprofit institutions,Own account,Pharmaceutical and medicine manufacturing,Prepackaged,Research and development,Scientific research and development services,Semiconductor and other electronic component manufacturing,Software,Software publishers,Theatrical movies,Universities and colleges
1992-01-01,0.23,0.32,0.06,0.98,-0.17,,0.98,0.8,,0.88,0.58,0.0,0.21,0.4,0.1,0.03,0.25,-0.37,,0.09,-0.31,0.48,3.27,1.07,0.08,0.15,3.94,,-0.38,0.0
1993-01-01,-0.35,0.97,0.1,-0.27,0.08,,0.81,0.9,,-0.22,-1.21,0.69,0.06,0.94,0.06,0.13,-0.04,-2.11,,0.06,1.28,0.55,1.42,-0.21,-0.03,-0.03,3.51,,0.83,-0.01
1994-01-01,-0.24,-1.43,0.03,0.32,-0.28,,1.53,0.91,,0.36,1.69,0.54,0.47,-1.37,-0.01,0.01,0.55,0.53,,-0.02,-0.4,0.31,1.57,0.31,0.06,0.3,2.71,,0.04,0.01
1995-01-01,-0.16,-0.25,-0.02,2.99,-0.09,,1.42,1.45,,0.71,3.18,0.47,-0.08,-0.19,-0.02,0.03,0.7,1.08,,-0.04,-0.4,0.8,1.68,2.97,0.06,0.38,2.7,,0.82,0.02
1996-01-01,0.16,0.21,-0.11,4.89,0.25,,2.78,1.3,,0.68,4.38,0.45,-0.23,0.51,0.2,0.01,1.18,0.94,,0.16,-0.46,0.77,2.47,5.08,0.3,0.62,4.79,,0.96,0.03
1997-01-01,-0.01,0.97,0.16,3.61,-0.28,,2.93,0.51,,0.34,2.38,-0.36,0.19,1.23,0.09,0.01,1.23,0.47,,0.09,1.53,0.66,4.4,3.7,0.26,0.67,8.86,,-0.19,0.01
1998-01-01,-0.03,0.87,0.09,3.24,0.47,,2.73,0.75,,0.45,2.02,-0.13,-0.11,1.22,0.27,-0.01,0.57,-0.18,,0.27,-0.04,1.02,4.07,3.51,0.34,0.3,6.75,,0.34,0.0
1999-01-01,0.05,2.54,0.07,3.97,-0.03,,2.32,0.46,,0.29,1.19,0.34,0.41,2.78,0.06,0.0,-0.01,0.05,,0.04,3.44,0.65,2.7,4.03,0.23,0.14,8.46,,-0.31,0.02
2000-01-01,-0.17,1.27,0.01,3.95,-0.01,,2.36,0.83,,0.06,2.32,-0.17,-0.02,1.63,0.0,0.02,1.67,-0.04,,-0.02,0.87,0.76,1.53,3.95,0.36,0.27,4.76,,0.76,0.02
2001-01-01,0.09,-0.65,-0.03,0.99,-0.04,,-0.2,-0.41,,-0.02,1.46,-0.15,-0.17,-0.47,0.05,0.0,1.18,-0.54,,0.03,-0.17,0.34,0.79,1.04,0.18,0.57,0.41,,-0.19,0.02
2002-01-01,0.22,1.32,0.02,-1.46,-0.31,,-1.41,0.66,,0.61,-1.94,0.0,-0.05,0.49,0.18,-0.03,-2.4,0.19,,0.15,-0.67,0.7,1.89,-1.27,-0.84,-0.35,-0.19,,0.11,0.03
2003-01-01,-0.03,0.11,-0.01,0.22,0.13,,0.21,1.08,,0.6,0.23,0.12,0.07,-0.01,0.19,-0.01,-0.59,0.4,,0.16,0.47,0.12,1.68,0.4,-0.12,0.09,2.37,,0.42,0.02
2004-01-01,0.36,-1.02,0.01,0.38,-0.01,,0.85,0.23,,0.06,1.18,-0.04,0.08,-0.81,0.02,0.02,-0.08,-0.14,,0.0,0.86,0.68,2.59,0.39,0.21,0.39,4.3,,0.05,0.01
2005-01-01,0.31,0.88,0.05,2.59,0.06,,1.63,1.22,,1.03,1.64,0.0,-0.1,0.95,0.02,0.01,0.08,0.56,,-0.02,0.23,0.46,1.68,2.61,0.07,0.16,3.54,,0.22,0.04
2006-01-01,0.12,0.95,-0.08,3.23,0.04,,1.49,0.16,,0.11,2.21,0.01,-0.06,1.02,0.05,-0.02,1.04,0.32,,0.01,0.28,0.78,0.55,3.29,0.07,-0.09,2.32,,0.2,0.04
2007-01-01,0.22,0.49,0.03,2.84,0.08,,1.76,-0.34,,-0.19,2.18,-0.2,-0.07,0.65,0.05,-0.03,0.14,0.17,,0.02,0.82,1.83,1.16,2.89,0.16,-0.05,3.75,,-0.08,0.03
2008-01-01,-0.12,0.72,-0.07,1.16,0.34,,1.35,-0.73,,-0.2,0.1,-0.65,-0.03,1.06,0.29,0.02,0.37,-0.52,,0.28,0.28,0.14,1.44,1.45,0.34,0.54,3.07,,-0.46,0.01
2009-01-01,0.15,-0.51,-0.14,-1.53,-0.22,0.04,0.03,-0.46,0.15,0.07,-1.05,-0.27,-0.02,-0.49,0.32,-0.03,-0.46,0.83,-0.5,0.28,0.17,-0.87,0.97,-1.21,0.02,-0.2,1.17,-0.2,-0.34,0.04
2010-01-01,-0.7,0.35,0.17,0.0,0.04,-0.46,1.92,1.07,0.07,0.58,-0.1,-0.08,-0.06,0.1,0.19,-0.1,-0.06,-0.17,0.39,0.15,-0.02,0.61,-0.41,0.18,-0.26,0.27,1.49,0.36,0.48,0.03
2011-01-01,-0.35,1.6,-0.09,1.97,-0.01,0.06,1.59,-0.09,0.19,0.28,0.29,0.27,-0.16,1.69,0.09,0.03,0.15,0.8,0.83,0.05,0.28,-0.92,2.39,2.06,0.08,0.34,4.26,0.52,-0.15,0.04
2012-01-01,-0.11,-0.42,-0.1,0.19,-0.12,-0.54,1.39,0.2,0.02,0.58,0.65,0.34,-0.04,-0.46,0.2,0.01,-0.23,0.15,0.09,0.17,0.41,0.18,2.55,0.39,-0.04,0.44,4.36,0.0,-0.26,0.04
2013-01-01,0.46,1.53,-0.05,3.23,0.05,-0.18,0.83,0.02,0.09,0.1,1.97,0.15,-0.06,1.26,0.11,-0.01,-0.13,0.41,0.55,0.01,0.37,0.56,1.74,3.35,-0.26,0.47,2.93,1.07,0.04,0.1
2014-01-01,0.0,1.33,-0.02,2.77,0.11,0.29,1.2,0.34,-0.03,0.3,1.51,0.19,0.03,1.25,-0.12,0.0,0.67,-0.13,0.9,-0.18,0.58,0.58,1.58,2.64,-0.07,0.09,3.36,0.16,0.03,0.05
2015-01-01,0.14,1.36,-0.02,1.73,0.01,0.45,0.24,0.38,0.15,0.29,0.13,0.02,0.06,1.61,0.02,0.0,-0.02,-0.05,1.15,-0.07,0.53,0.33,1.84,1.75,0.24,-0.32,2.61,-0.38,0.05,0.09
2016-01-01,0.36,2.01,0.01,4.23,-0.16,0.31,1.95,0.41,0.29,0.32,2.31,0.42,0.04,1.92,0.1,0.02,0.59,0.39,1.24,0.05,0.59,0.51,2.24,4.33,-0.09,0.2,4.78,0.17,0.02,0.05
2017-01-01,-0.17,1.0,0.01,1.48,0.0,-0.31,2.14,0.32,0.11,0.2,0.22,0.15,0.04,1.25,0.04,0.03,0.2,0.23,1.15,0.01,0.46,-0.02,2.47,1.52,0.25,-0.17,5.08,0.05,0.03,0.03
2018-01-01,-0.2,2.17,-0.03,2.71,-0.04,0.38,2.17,0.32,0.04,0.21,0.53,0.09,0.06,2.18,0.29,0.02,-0.05,0.08,2.0,0.26,0.33,0.86,3.03,3.0,0.0,-0.21,5.53,-0.25,0.05,0.04
2019-01-01,-0.32,2.79,-0.04,4.73,-0.01,0.46,0.78,0.11,0.26,0.02,1.83,-0.07,0.07,2.9,0.15,0.02,-0.21,0.37,2.2,0.1,0.55,1.63,1.85,4.87,0.11,0.44,3.18,-0.14,0.04,0.05
2020-01-01,0.0,0.67,-0.06,0.89,-0.07,-0.16,1.24,-0.35,0.25,-0.24,0.08,-0.16,0.01,0.81,0.08,-0.03,-0.03,-0.17,0.41,0.05,0.57,0.13,2.07,0.97,0.14,0.4,3.89,0.17,-0.05,0.03
2021-01-01,-0.03,2.43,-0.03,4.07,-0.06,0.08,2.68,-0.11,0.07,-0.1,1.31,0.26,0.04,2.76,0.1,-0.01,0.01,0.2,1.82,0.07,0.31,0.64,3.15,4.17,0.33,0.3,6.14,0.46,-0.02,0.03
2022-01-01,0.25,2.43,0.0,4.46,0.0,0.12,2.19,0.51,0.17,0.16,1.85,0.44,0.12,2.61,0.11,0.06,0.04,0.25,1.68,0.09,0.66,0.73,3.32,4.56,0.17,0.13,6.17,0.46,0.16,0.01
2023-01-01,0.04,1.0,-0.01,2.46,0.02,0.06,0.78,0.17,-0.12,-0.08,1.35,0.1,0.1,1.1,0.1,0.05,0.13,0.38,0.7,0.09,0.6,0.56,1.65,2.56,0.1,0.12,3.03,0.36,0.11,0.02
