Date,Aircraft,Amusement and recreation,Commercial,Conservation and development,Educational,Electronics,Equipment,Federal,Government enterprise gross fixed investment,Gross government fixed investment,Health care,Highways and streets,Industrial,Intellectual property products,Military facilities,Missiles,National defense,Net purchases of used structures,New,Nondefense,Office,Other,Other equipment,Power,Public safety,Research and development,Residential,Sewer systems,Ships,Software,State and local,Structures,Transportation,Vehicles,Water systems
1953-01-01,,7.485,7.9095,8.77,6.7605,,36.78933333333333,19.5296,10.383,14.147,9.6325,7.427,7.566,36.734,5.537,,17.02375,8.837,7.149,25.4875,7.458,8.68,,8.0755,7.8740000000000006,16.05,8.4975,7.941,,,19.7348,8.201666666666666,7.348,,8.209
1954-01-01,,7.5495,7.703,8.675,6.347,,36.027,19.456200000000003,10.224,14.076,9.372,6.997999999999999,7.372,36.803,5.355,,17.1575,8.805,6.960333333333334,24.449749999999998,7.3095,8.5935,,8.111,7.6685,16.069333333333333,8.75,8.108,,,19.815,8.046,7.0969999999999995,,8.381
1955-01-01,,7.6745,7.806,8.56,6.461,,36.090666666666664,19.7036,10.315,14.323,9.525500000000001,6.7995,7.477,37.092,5.376,,17.6175,8.974,6.967333333333333,24.594,7.4005,9.527000000000001,,8.039,7.7335,16.381,9.5015,8.398,,,20.839399999999998,8.037666666666667,6.9005,,8.683
1956-01-01,,8.511,8.530000000000001,9.196,6.840999999999999,,38.455333333333336,21.084200000000003,11.121,15.473,10.34,7.7,8.122,38.281,5.813,,18.81,9.458,7.578666666666667,24.999499999999998,8.1055,9.482,,9.034500000000001,8.4855,17.007333333333335,8.53,9.012,,,22.081799999999998,8.747333333333334,7.6295,,9.315
1957-01-01,,8.8525,8.850999999999999,9.870000000000001,7.4795,,39.922333333333334,22.104599999999998,11.654,16.116,10.77,8.024999999999999,8.795,39.347,6.029,,19.63075,9.624,7.980999999999999,26.0645,8.412500000000001,9.653,,9.4465,8.746,17.384333333333334,8.9315,9.583,,,22.0614,9.203666666666667,8.0625,,9.907
1958-01-01,,8.614,8.674,9.842,7.8084999999999996,,39.32833333333333,22.232799999999997,11.686,16.156,10.569,7.839,9.47,39.9795,6.122,,19.94525,9.515,7.989666666666667,26.811500000000002,8.3545,9.6705,,9.053,8.637,17.763666666666666,8.98,9.859,,,21.976999999999997,9.121333333333334,7.9670000000000005,,10.193
1959-01-01,,8.863499999999998,8.9755,9.7905,7.984500000000001,,41.708999999999996,22.803,11.218,16.294,10.32,7.7955000000000005,8.57,43.29566666666667,6.283,,20.27175,9.515,7.979333333333333,29.891999999999996,8.2835,9.682,,9.1985,8.939,18.150666666666666,8.992,8.39,,45.445,21.6414,8.987666666666668,7.8225,,9.984
1960-01-01,,8.8065,9.0465,9.7635,8.0105,,42.71,22.9584,11.221,16.25,10.4195,7.4925,8.433,43.547333333333334,6.229,,20.339750000000002,9.527,7.908,31.74725,8.2605,9.597,,9.201,9.009,18.37066666666667,9.031500000000001,8.401,,51.32833333333334,21.701,8.937,7.6665,,10.077
1961-01-01,,8.843499999999999,9.046,9.9155,7.9985,,42.37233333333334,23.083999999999996,11.224,16.345,10.4545,7.5315,8.369,44.11966666666667,6.26,,20.537,9.469,7.937666666666666,31.440749999999998,8.225000000000001,9.596,,9.0175,9.007,18.496666666666666,9.029,8.486,,51.77700000000001,21.7714,8.952,7.495,,10.131
1962-01-01,,8.961,9.1395,10.076,8.094000000000001,,42.678333333333335,23.337600000000002,11.362,16.565,10.553,7.7765,8.139,44.03466666666666,6.391,,20.74675,9.516,8.069333333333333,32.405499999999996,8.3255,9.709499999999998,,9.064,9.1,18.619333333333334,9.075,8.733,,51.76733333333333,21.8958,9.091666666666667,7.633,,10.067
1963-01-01,,9.033000000000001,9.187000000000001,10.2515,8.185,,44.87433333333333,23.624599999999997,11.495,16.727,10.713000000000001,7.9875,8.395,43.99166666666667,6.516,,20.86025,9.64,8.214666666666666,33.35975,8.486,9.7345,,9.1305,9.148,18.656666666666666,9.0085,8.914,,52.19833333333333,22.037399999999998,9.207,7.992000000000001,,10.038
1964-01-01,,9.1355,9.309000000000001,10.4405,8.324,,49.95033333333333,24.038999999999998,11.68,16.884,10.8975,8.074,8.782,44.697,6.576,,20.938499999999998,9.801,8.339666666666666,35.3685,8.651,9.818,,9.3675,9.261,18.868,9.0455,9.072,,53.296,22.2232,9.334000000000001,8.260000000000002,,9.938
1965-01-01,,9.3695,9.515,10.705,8.560500000000001,,45.60666666666666,24.0184,11.884,17.09,11.1995,8.345500000000001,9.104,44.948,6.676,,21.0,10.073,8.551,33.531000000000006,8.9245,10.0525,,9.6355,9.4845,18.894333333333332,9.1945,9.195,,54.02533333333333,22.4894,9.566,8.5475,,10.224
1966-01-01,,9.754000000000001,9.83,11.047,8.86,,46.30766666666667,24.4052,12.286,17.508,11.565000000000001,8.798,9.883,45.51733333333333,6.743,,21.26925,10.473,8.848666666666666,33.90625,9.239,10.447,,9.812999999999999,9.7915,19.06566666666667,9.5125,9.506,,55.01533333333333,23.0072,9.912666666666667,9.1985,,10.478
1967-01-01,,10.036999999999999,10.093499999999999,11.494,9.1225,,47.025,24.8632,12.667,17.886,11.8345,9.122,10.5,46.15033333333333,7.137,,21.55775,10.806,9.198,35.16075,9.54,10.7515,,10.203,10.053,19.217,9.4205,9.808,,55.945,23.5702,10.253333333333332,9.798,,10.643
1968-01-01,,10.4665,10.532,12.027999999999999,9.5425,,48.569666666666656,25.6296,13.21,18.53,12.3965,9.6065,10.925,47.63066666666666,7.647,,22.14225,11.403,9.680666666666667,36.71025,10.01,11.246500000000001,,10.690000000000001,10.4905,19.77,9.868500000000001,10.228,,57.910333333333334,24.455199999999998,10.716999999999999,10.310500000000001,,11.093
1969-01-01,,11.2965,11.511,12.719000000000001,10.3265,,50.428666666666665,26.8916,14.066,19.577,13.5655,10.163499999999999,11.597,49.132666666666665,8.217,,23.2625,12.141,10.377666666666668,37.8385,10.743,12.154499999999999,,11.246500000000001,11.4725,20.671000000000003,10.851500000000001,10.92,,59.528,25.5922,11.446333333333333,11.215499999999999,,11.541
1970-01-01,,12.2725,12.34,13.6375,11.0535,,54.184,28.726,15.09,21.023,14.675,11.3695,12.591,51.34633333333333,8.934,,24.7745,12.546,11.255,41.41425,11.427,12.898499999999999,,12.086,12.275,21.807999999999996,11.1555,11.812,,62.26866666666666,27.053199999999997,12.311,12.9905,,12.23
1971-01-01,,13.224,13.385,14.726500000000001,11.987,,55.443999999999996,30.299199999999995,16.237,22.42,16.1565,12.239999999999998,14.128,52.13633333333333,9.797,,26.22425,13.309,12.230666666666666,43.4625,12.413,13.804,,13.1375,13.3355,22.935000000000002,11.7725,13.141,,63.282000000000004,28.4668,13.321666666666665,13.805,,13.268
1972-01-01,82.433,14.19,14.336500000000001,15.8225,12.876999999999999,263.939,59.173,35.0322,17.279,24.137,17.3445,12.693000000000001,14.201,53.04,10.94,97.923,32.49675,14.268,13.096333333333334,44.54175,13.405999999999999,14.75,21.239,13.9055,14.2485,23.778333333333336,12.370000000000001,14.611,19.605,64.12433333333333,29.5032,14.256,14.085,24.986,14.304
1973-01-01,82.427,15.291,15.4885,16.7955,13.940999999999999,267.312,60.31433333333333,36.1354,18.485,25.676,18.6875,13.8145,15.351,55.34099999999999,13.713,92.752,33.482749999999996,15.599,14.604999999999999,46.20575,14.472999999999999,15.963000000000001,26.963,14.9525,15.4115,25.161,13.8595,15.725,20.87,66.64266666666667,31.0406,15.346666666666666,15.0985,24.849,15.342
1974-01-01,81.931,17.817,17.308500000000002,18.6075,15.5425,288.953,65.04466666666667,38.581399999999995,21.428,29.112,20.930500000000002,18.1235,18.137,59.57066666666666,15.915,92.664,35.27425,17.252,16.838666666666665,50.167,16.13,18.458,34.508,17.7085,17.2455,27.765,14.8545,17.95,22.959,71.31833333333334,35.063599999999994,17.691,20.1385,24.375,17.81
1975-01-01,84.398,19.666,18.982,22.0885,17.039,303.756,72.33,41.8228,24.423,31.824,22.985500000000002,19.7205,19.838,63.57933333333333,17.676,95.398,37.4595,18.931,18.751,54.952749999999995,17.688,20.7245,32.993,20.823999999999998,18.872500000000002,29.897000000000002,16.0365,20.275,25.398,75.90533333333333,39.066,20.130666666666666,21.981,26.244,21.249
1976-01-01,85.59,20.09,19.575000000000003,23.846,17.636,308.584,76.748,44.340199999999996,25.61,33.021,23.500500000000002,19.2065,19.662,65.42666666666668,18.661,123.671,39.8945,20.002,19.447,56.9955,18.2855,21.4665,34.707,22.115499999999997,19.5125,31.329333333333334,16.9825,21.621,26.981,77.87066666666668,40.8584,21.077,20.386499999999998,31.897,22.377
