Date,Air,All other electric,Alternative electric,Amusement and recreation,Brokers' commissions and other ownership transfer costs,Brokers' commissions on sale of structures,Commercial and health care,Communication,Dormitories,Educational and vocational,Electric,Farm,Food and beverage establishments,Health care,Hospitals,Hospitals and special care,Improvements,Land,Lodging,Manufactured homes,Manufacturing,Medical buildings,Mining,"Mining exploration, shafts, and wells",Multifamily structures,Multimerchandise shopping,Net purchases of used structures,Nonresidential,Nonresidential structures,Office,Other,Other commercial,Other power,Other structures,Permanent site,Petroleum and natural gas,Power,Power and communication,Private fixed investment in new structures,Religious,Residential,Residential structures,Single-family structures,Special care,Transportation,Warehouses
1965-01-01,0.05,,,0.52,0.25,0.09,2.0,0.19,0.08,0.02,0.49,0.02,0.2,0.2,0.08,0.1,-0.27,0.07,-0.03,0.31,2.35,0.1,0.0,-0.05,-1.12,0.36,-0.0049999999999999906,6.5,6.21,0.83,0.1,0.26,0.18,0.745,-1.82,-0.05,0.67,0.87,4.5,0.29,-1.66,-1.71,-0.69,0.02,0.13,0.16
1966-01-01,0.0,,,0.04,-0.12,0.03,-0.31,0.11,-0.07,0.26,0.69,0.07,-0.03,-0.05,-0.03,-0.04,0.26,0.14,-0.18,0.18,1.97,-0.01,0.0,-0.21,-1.55,-0.05,-0.06499999999999999,3.08,2.89,-0.12,0.05,-0.03,0.4,0.185,-4.67,-0.2,1.09,1.2,-1.41,-0.16,-4.72,-4.3,-3.12,-0.01,0.15,-0.02
1967-01-01,-0.01,,,-0.08,0.22,-0.03,-0.49,-0.08,-0.2,0.05,0.86,0.26,-0.03,-0.22,-0.17,-0.2,0.13,-0.11,-0.29,0.23,-1.23,-0.02,0.0,-0.17,-1.08,-0.05,0.0049999999999999906,-1.23,-1.38,-0.13,-0.04,-0.04,0.14,-0.02500000000000001,-1.59,-0.17,1.0,0.92,-2.82,-0.18,-1.39,-1.44,-0.52,-0.04,-0.12,-0.02
1968-01-01,-0.12,,,-1.06,0.56,-0.07,1.2,0.04,-0.14,0.07,0.5,-0.28,0.1,0.32,0.22,0.27,-0.27,0.16,-0.14,0.77,-0.34,0.05,0.05,0.02,3.27,0.18,0.08,0.68,0.68,0.41,-0.01,0.12,0.68,-0.20999999999999996,5.86,-0.03,1.19,1.23,6.9,-0.05,6.86,6.23,2.6,0.05,0.04,0.08
1969-01-01,0.02,,,0.19,0.11,-0.05,1.99,0.54,-0.12,-0.19,0.07,-0.04,0.14,0.68,0.49,0.61,-0.16,0.03,0.06,0.62,0.43,0.07,0.03,0.15,2.4,0.27,0.034999999999999996,2.48,2.52,0.6,0.1,0.17,-0.61,0.215,1.06,0.11,-0.54,0.0,3.91,-0.21,1.57,1.4,-1.35,0.12,0.04,0.12
1970-01-01,0.0,,,0.04,0.48,-0.06,0.19,0.59,-0.15,-0.26,0.64,0.09,-0.02,0.37,0.3,0.38,0.36,-0.17,-0.12,-0.13,-0.29,-0.01,0.03,-0.21,-0.25,-0.03,-0.08,0.13,0.24,-0.08,0.09,-0.03,-0.21,-0.06499999999999997,-3.4,-0.24,0.43,1.02,-3.07,-0.14,-2.95,-3.31,-3.15,0.07,-0.17,-0.01
1971-01-01,-0.01,,,-0.06,1.21,-0.05,1.42,0.03,-0.09,0.0,0.17,-0.13,0.12,0.29,0.19,0.23,0.53,0.04,-0.08,0.98,-1.49,0.06,0.02,-0.25,3.13,0.23,-0.135,-0.8,-0.69,0.52,-0.02,0.15,-0.1,0.915,11.35,-0.27,0.07,0.1,12.09,-0.22,13.77,12.77,8.21,0.04,0.03,0.1
1972-01-01,0.0,,,-0.02,0.69,-0.02,1.39,0.17,-0.07,-0.03,0.29,-0.27,0.28,0.13,0.12,0.15,0.19,0.04,0.46,0.84,-0.8,-0.03,0.01,0.2,3.26,0.52,0.030000000000000002,1.34,1.35,-0.14,-0.06,0.37,0.01,0.895,8.16,0.19,0.3,0.47,10.48,-0.03,9.86,9.13,4.9,0.03,0.04,0.24
1973-01-01,0.01,,,0.05,0.05,0.08,0.67,0.32,0.01,-0.13,0.33,0.47,0.1,-0.13,-0.13,-0.16,-0.73,0.04,0.15,0.2,1.2,0.03,0.04,0.17,0.41,0.18,0.05,3.26,3.19,0.3,-0.01,0.13,0.0,0.10500000000000004,-0.2,0.14,0.33,0.65,2.48,-0.08,-0.55,-0.71,-0.61,-0.03,0.05,0.08
1974-01-01,-0.01,,,-0.11,-0.09,0.04,-0.94,-0.21,-0.02,-0.24,-0.58,0.3,-0.09,-0.21,-0.14,-0.17,0.68,0.0,-0.62,-1.01,0.84,-0.04,0.11,0.53,-5.21,-0.16,0.105,-0.91,-0.95,-0.31,-0.03,-0.1,0.1,-0.445,-11.38,0.41,-0.47,-0.68,-12.69,0.01,-11.62,-11.74,-6.17,-0.03,-0.01,-0.07
