Date,Domestic corporate business,Domestic corporate business (2-8+16),Financial,Government,"Imputed dividends paid by domestic corporate business, financial",Imputed dividends received by persons,Monetary dividends paid,Monetary dividends received,Net corporate dividend payments (19+20),Nonfinancial,Paid by Federal Reserve banks,Personal dividend income (18-13 or 15+17),Persons,Received by financial corporations from Federal Reserve banks,Received by the U.S. Treasury from Federal Reserve banks,Rest of the world,Rest of the world (6-12)
2006-01-01,607449.0,637938.0,291376.5,32260.0,105558.0,105558.0,1059655.0,1059655.0,715841.0,316072.5,29923.0,683580.0,578022.0,871.0,29052.0,147064.0,77902.0
2007-01-01,693193.5,677861.0,359199.0,38237.0,121483.0,121483.0,1220363.0,1220363.0,818291.0,333995.0,35590.0,780055.0,658571.0,992.0,34598.0,178765.0,140430.0
2008-01-01,712360.0,660852.0,358711.5,35695.0,129616.0,129616.0,1294343.0,1294343.0,841365.0,353648.5,32878.0,805670.0,676054.0,1189.0,31689.0,226109.0,180513.0
2009-01-01,614019.0,516582.0,291091.5,69077.0,118052.0,118052.0,1050437.0,1050437.0,634718.0,322927.5,48858.0,565642.0,447590.0,1428.0,47430.0,178085.0,118137.0
2010-01-01,642816.5,514546.0,317271.0,99338.0,115548.0,115548.0,1090310.0,1090310.0,635963.0,325545.5,80851.0,536625.0,421077.0,1583.0,79268.0,187285.5,121417.0
2011-01-01,672386.5,633083.0,347117.5,97576.0,115894.0,115894.0,1229577.0,1229577.0,787996.0,325269.5,77001.0,690419.0,574526.0,1577.0,75424.0,221139.5,154913.0
2012-01-01,784446.5,765393.0,407529.5,113576.0,128726.0,128726.0,1434368.0,1434368.0,945317.0,376917.0,90056.0,831742.0,703016.0,1638.0,88418.0,241625.5,179925.0
2013-01-01,873320.0,858891.0,497640.5,215667.0,142129.0,142129.0,1549658.0,1549658.0,997315.0,375679.0,81282.0,781648.0,639519.0,1649.0,79633.0,248745.0,138424.0
2014-01-01,925788.0,898271.0,509574.0,142870.0,153236.0,153236.0,1653816.0,1653816.0,1059898.0,416214.0,98588.0,917027.0,763791.0,1686.0,96902.0,274697.5,161626.0
2015-01-01,991168.0,965924.0,523798.0,131831.0,160543.0,160543.0,1745987.0,1745987.0,1128699.0,467370.5,112186.0,996868.0,836326.0,1743.0,110443.0,270739.5,162775.0
2016-01-01,963342.0,953732.0,496118.5,111971.0,166796.0,166796.0,1736263.0,1736263.0,1139417.0,467223.5,92178.0,1027446.0,860650.0,711.0,91467.0,286610.5,185685.0
2017-01-01,1060290.0,1043492.0,573459.0,109558.0,179810.0,179810.0,1912605.0,1912605.0,1253852.0,486830.0,81344.0,1144294.0,964484.0,784.0,80560.0,315294.5,210360.0
2018-01-01,1747059.5,418955.0,658688.5,85028.0,181190.0,181190.0,2992817.0,2992817.0,1319931.0,1088371.5,66318.0,1234903.0,1053713.0,999.0,65319.0,676387.0,900976.0
2019-01-01,1313318.0,937773.0,600351.5,70332.0,189188.0,189188.0,2393288.0,2393288.0,1416836.0,712966.5,55607.0,1346503.0,1157315.0,714.0,54893.0,466146.5,479063.0
2020-01-01,1227799.0,1171815.0,614376.5,93261.0,206123.0,206123.0,2270184.0,2270184.0,1496731.0,613422.5,87276.0,1403470.0,1197346.0,386.0,86890.0,397081.0,324916.0
2021-01-01,1344024.5,1473537.0,671664.0,115559.0,213608.0,213608.0,2562962.0,2562962.0,1816015.0,672360.5,109608.0,1700456.0,1486848.0,583.0,109025.0,417733.5,342478.0
2022-01-01,1412982.0,1539604.0,702286.5,82707.0,204342.0,204342.0,2735988.0,2735988.0,1921869.0,710695.5,77208.0,1839162.0,1634820.0,1208.0,76000.0,464241.5,382265.0
2023-01-01,1433250.5,1608800.0,718896.5,7058.0,197038.0,197038.0,2755003.0,2755003.0,1937984.0,714354.0,1500.0,1930926.0,1733888.0,1500.0,0.0,451279.0,329184.0
