Date,Change in private inventories,Durable goods,Farm,Manufacturing,Merchant wholesalers,Motor vehicle dealers,Nondurable goods,Nonfarm,Nonmerchant wholesalers,Other,Residual,Retail trade,Wholesale trade
1974-10-01,52492.0,10878.0,-19482.0,37335.0,20858.0,13825.0,6499.666666666667,79430.0,7370.0,4502.5,45767.0,6230.0,28302.0
1975-01-01,-21151.0,-3436.5,21899.0,-1435.0,-18529.0,-17137.0,-7176.666666666667,-46917.0,4648.0,-4254.0,-16016.0,-29380.0,-13890.0
1975-04-01,-37094.0,-4316.0,7758.0,-20776.0,-14483.0,2970.0,-7314.333333333333,-47181.0,-3885.0,618.0,-13813.0,-9078.0,-18430.0
1975-07-01,-5930.0,-3216.6666666666665,-177.0,-17545.0,2331.0,8184.0,4198.0,-6078.0,1131.0,2715.5,-11787.0,7163.0,3481.0
1975-10-01,387.0,-2768.3333333333335,4174.0,-200.0,-6185.0,-9299.0,2462.8333333333335,-4449.0,-77.0,5411.0,-7873.0,-4615.0,-6263.0
1976-01-01,39195.0,2366.1666666666665,-330.0,6498.0,4045.0,7333.0,5773.333333333333,40645.0,324.0,3687.5,12357.0,25112.0,4373.0
1976-04-01,58961.0,7204.333333333333,-2669.0,21458.0,21100.0,1620.0,7861.166666666667,63395.0,4194.0,4753.0,25105.0,12687.0,25370.0
1976-07-01,53269.0,6194.0,6391.0,22314.0,14735.0,6432.0,4595.166666666667,47549.0,5275.0,-1015.5,34759.0,9056.0,20086.0
1976-10-01,19461.0,4132.0,-12590.0,23665.0,3121.0,1778.0,-84.83333333333333,32292.0,-1315.0,746.5,35081.0,5452.0,1783.0
1977-01-01,33147.0,3994.0,-6924.0,4187.0,14149.0,6722.0,6453.666666666667,40323.0,2571.0,6998.5,5598.0,10001.0,16786.0
1977-04-01,49461.0,3882.5,15919.0,12414.0,12279.0,4752.0,4327.5,33944.0,281.0,-14.0,16523.0,9307.0,12571.0
1977-07-01,86816.0,6181.5,21707.0,21641.0,22456.0,6714.0,8703.0,65867.0,-2285.0,8280.0,27384.0,12255.0,20029.0
1977-10-01,45665.0,5497.166666666667,11639.0,7207.0,18446.0,7641.0,2889.6666666666665,34325.0,-529.0,-186.5,13783.0,10491.0,17841.0
1978-01-01,54392.0,10687.666666666666,-4560.0,6962.0,32991.0,5953.0,3147.6666666666665,59743.0,-3880.0,5990.0,17360.0,20233.0,28875.0
1978-04-01,53511.0,7751.166666666667,725.0,24577.0,17711.0,-3893.0,2181.8333333333335,54057.0,-5059.0,4803.5,26946.0,11329.0,12425.0
1978-07-01,54536.0,4125.0,15151.0,20311.0,4032.0,-2128.0,2889.8333333333335,39494.0,261.0,6546.0,19192.0,3824.0,4280.0
1978-10-01,64839.0,9911.333333333334,763.0,24781.0,22153.0,14355.0,4582.833333333333,66140.0,4024.0,-405.5,38527.0,16152.0,26202.0
1979-01-01,49046.0,9167.0,9166.0,17194.0,23632.0,7316.0,-965.1666666666666,40367.0,-3046.0,1161.5,27808.0,1003.0,20241.0
1979-04-01,55490.0,6252.0,7342.0,19332.0,6168.0,13756.0,3016.8333333333335,49322.0,4270.0,539.5,31561.0,17943.0,10521.0
