Date,Capital transfer payments,Capital transfer receipts,Consumption expenditures,Contributions for government social insurance,Current expenditures,Current receipts,Current surplus of government enterprises,Current tax receipts,Current transfer payments,Current transfer receipts,Dividends,From business (net),From persons,From the rest of the world,Government social benefits,Gross government investment,Income receipts on assets,Interest and miscellaneous receipts,Interest payments,Interest receipts,Less: Consumption of fixed capital,Net government saving,Net lending or net borrowing (-),Net purchases of nonproduced assets,Other,Other current transfer payments to the rest of the world,Personal current taxes,Rents and royalties,Social insurance funds,Subsidies,Taxes from the rest of the world,Taxes on corporate income,Taxes on production and imports,To persons,To persons and business,To the rest of the world,Total expenditures,Total receipts
1960-01-01,84.0,2010.0,81850.0,16456.0,127216.0,134549.0,546.0,113160.0,26816.0,711.0,940.0,399.0,8368.0,32.0,23556.0,35101.0,3675.0,2735.0,17526.0,2320.0,19289.0,7333.0,-7674.0,1121.0,5970.0,3260.0,45292.0,416.0,1363.0,1024.0,88.0,24084.0,43696.0,23304.0,17122.0,328.0,144233.0,136559.0
1960-04-01,100.0,2247.0,83186.0,16488.0,130318.0,134031.0,547.0,112511.0,28228.0,747.0,948.0,420.0,8391.5,32.0,24188.0,35194.0,3738.0,2790.0,17624.0,2364.0,19563.0,3713.0,-11139.0,1368.0,2884.0,4040.0,46028.0,426.0,829.0,1280.0,100.0,22036.0,44347.0,23968.0,17280.0,282.0,147417.0,136278.0
1960-07-01,96.0,2145.0,85579.0,16544.0,131945.0,134039.0,396.0,112533.0,27932.0,791.0,892.0,439.0,8430.0,36.0,24988.0,36840.0,3775.0,2883.0,17386.0,2451.0,19832.0,2094.0,-14275.0,1410.0,1882.0,2944.0,46528.0,432.0,212.0,1048.0,96.0,21048.0,44861.0,24740.0,17078.0,278.0,150459.0,136184.0
1960-10-01,92.0,2566.0,87451.0,16424.0,135530.0,133084.0,378.0,111832.0,29572.0,839.0,808.0,462.0,8382.5,36.0,25964.0,36879.0,3611.0,2803.0,17275.0,2365.0,20086.0,-2446.0,-18129.0,1365.0,-1678.0,3608.0,46424.0,438.0,-768.0,1232.0,96.0,20028.0,45284.0,25700.0,17003.0,268.0,153780.0,135650.0
1961-01-01,108.0,2551.0,86591.0,16788.0,136561.0,133943.0,307.0,112247.0,31096.0,961.0,700.0,531.0,8585.0,48.0,27800.0,39627.0,3640.0,2940.0,17302.0,2415.0,20372.0,-2618.0,-20760.0,1330.0,-507.0,3296.0,46511.0,524.0,-2111.0,1572.0,104.0,19856.0,45776.0,27512.0,17026.0,282.0,157254.0,136494.0
1961-04-01,116.0,2391.0,88743.0,16956.0,141213.0,136691.0,236.0,114831.0,32844.0,994.0,668.0,530.0,8684.0,52.0,28624.0,38511.0,3674.0,3006.0,17618.0,2472.0,20644.0,-4522.0,-21655.0,1540.0,-1783.0,4220.0,46944.0,534.0,-2739.0,2008.0,108.0,21316.0,46463.0,28348.0,17358.0,268.0,160737.0,139082.0
1961-07-01,128.0,2571.0,90111.0,17116.0,142032.0,139485.0,311.0,117378.0,31704.0,1039.0,676.0,547.0,8778.0,52.0,28768.0,39850.0,3641.0,2965.0,18045.0,2428.0,20970.0,-2547.0,-20606.0,1621.0,111.0,2936.0,47402.0,537.0,-2658.0,2172.0,112.0,22608.0,47256.0,28504.0,17773.0,268.0,162661.0,142056.0
1961-10-01,140.0,2523.0,91914.0,17368.0,144457.0,144004.0,499.0,121240.0,31804.0,1070.0,704.0,552.0,8915.0,56.0,28268.0,41602.0,3827.0,3123.0,18435.0,2581.0,21304.0,-453.0,-19817.0,1449.0,1351.0,3536.0,48143.0,542.0,-1804.0,2304.0,124.0,24596.0,48377.0,27992.0,18131.0,290.0,166344.0,146527.0
1962-01-01,120.0,2418.0,95155.0,18940.0,148928.0,146335.0,427.0,121950.0,32540.0,1091.0,760.0,554.0,9712.5,52.0,28844.0,41952.0,3928.0,3168.0,18949.0,2552.0,21716.0,-2592.0,-22139.0,1608.0,-1935.0,3696.0,49402.0,615.0,-657.0,2284.0,128.0,23024.0,49396.0,28520.0,18629.0,322.0,170892.0,148753.0
1962-04-01,120.0,2727.0,96572.0,19164.0,151414.0,148561.0,361.0,123714.0,33008.0,1105.0,800.0,559.0,9827.0,56.0,28748.0,41854.0,4216.0,3416.0,19450.0,2798.0,22015.0,-2853.0,-21837.0,1753.0,-2578.0,4260.0,50924.0,619.0,-275.0,2384.0,144.0,22740.0,49906.0,28460.0,19114.0,312.0,173125.0,151288.0
1962-07-01,108.0,2649.0,98939.0,19252.0,153254.0,151761.0,413.0,126787.0,32140.0,1121.0,812.0,574.0,9869.5,60.0,29140.0,43113.0,4188.0,3376.0,19959.0,2755.0,22493.0,-1493.0,-21187.0,1615.0,-986.0,3000.0,52319.0,621.0,-507.0,2216.0,148.0,23432.0,50888.0,28852.0,19615.0,316.0,175597.0,154410.0
1962-10-01,156.0,2758.0,100093.0,19340.0,155949.0,153614.0,391.0,128569.0,33364.0,1127.0,824.0,585.0,9911.0,60.0,29836.0,43469.0,4188.0,3364.0,20284.0,2739.0,22996.0,-2334.0,-21834.0,1628.0,-1489.0,3528.0,53575.0,625.0,-845.0,2208.0,160.0,23496.0,51338.0,29540.0,19928.0,326.0,178206.0,156372.0
1963-01-01,92.0,2797.0,100470.0,21396.0,157867.0,157385.0,718.0,129870.0,34792.0,1161.0,836.0,642.0,10927.5,60.0,31192.0,43254.0,4240.0,3404.0,20573.0,2809.0,23337.0,-482.0,-19211.0,1516.0,-328.0,3600.0,54101.0,596.0,-154.0,2032.0,176.0,23588.0,52005.0,30852.0,20209.0,352.0,179393.0,160182.0
1963-04-01,84.0,2906.0,100580.0,21620.0,158624.0,160623.0,756.0,132713.0,34908.0,1206.0,852.0,684.0,11035.0,72.0,30184.0,43552.0,4328.0,3476.0,20960.0,2879.0,23726.0,1999.0,-16840.0,1835.0,846.0,4724.0,54311.0,597.0,1153.0,2176.0,192.0,25272.0,52938.0,29852.0,20580.0,356.0,180369.0,163529.0
1963-07-01,92.0,3038.0,104110.0,21820.0,161127.0,163026.0,844.0,134688.0,33264.0,1185.0,888.0,653.0,11144.0,64.0,30384.0,45816.0,4488.0,3600.0,21457.0,2997.0,24036.0,1899.0,-18798.0,1862.0,696.0,2880.0,54593.0,603.0,1203.0,2296.0,196.0,25980.0,53919.0,30076.0,21041.0,362.0,184862.0,166064.0
1963-10-01,84.0,2799.0,105858.0,22104.0,164427.0,165479.0,938.0,136637.0,34108.0,1212.0,944.0,665.0,11291.5,68.0,30900.0,45131.0,4588.0,3644.0,22029.0,3035.0,24341.0,1051.0,-18515.0,1491.0,-179.0,3208.0,55203.0,608.0,1230.0,2432.0,188.0,26564.0,54682.0,30584.0,21585.0,380.0,186792.0,168278.0
1964-01-01,84.0,2951.0,106778.0,22104.0,166926.0,165450.0,940.0,135842.0,35004.0,1247.0,1508.0,648.0,11317.5,68.0,31824.0,45776.0,5317.0,3809.0,22416.0,3161.0,24671.0,-1476.0,-21674.0,1960.0,-1999.0,3180.0,53755.0,648.0,523.0,2728.0,180.0,26236.0,55671.0,31496.0,21972.0,386.0,190075.0,168401.0
1964-04-01,72.0,3349.0,107813.0,22348.0,169178.0,162882.0,943.0,132881.0,35628.0,1218.0,1564.0,612.0,11439.0,76.0,31356.0,46501.0,5492.0,3928.0,22857.0,3276.0,24971.0,-6296.0,-26739.0,2190.0,-7665.0,4272.0,49723.0,652.0,1369.0,2880.0,180.0,26232.0,56746.0,31036.0,22417.0,380.0,192970.0,166231.0
