Date,Agriculture,Air,Disability,Economic affairs,Education,Elementary and secondary,Energy,Executive and legislative,Federal,Fire,General economic and labor affairs,General public service,Government,Gross expenditures,Health,Health (net),Higher,Highways,Housing and community services,Income security,Interest payments,Law courts,Less: Sales to other sectors,Libraries,Libraries and other,National defense,Natural resources,Other,Other economic affairs,Police,Postal service,Prisons,Public order and safety,Recreation and culture,Retirement,Space,State and local,Tax collection and financial management,Transit and railroad,Transportation,Unemployment,Water,Welfare and social services
1979-01-01,4312.666666666667,2393.0,20046.333333333332,45585.0,81518.33333333333,59330.0,4729.5,9665.666666666666,534386.0,3697.3333333333335,11733.333333333334,115676.66666666667,777924.0,50755.0,67991.0,35370.0,14997.333333333334,14856.666666666666,6249.333333333333,124966.0,85640.0,3707.0,15385.0,1476.0,8702.5,126503.5,3700.6666666666665,6401.6,22887.333333333332,9801.333333333334,0.0,3901.6666666666665,21107.333333333332,3387.6666666666665,94938.0,3807.0,307518.0,6940.0,1720.0,20160.0,10978.0,2982.0,32596.666666666668
1980-01-01,5632.666666666667,2558.0,22005.333333333332,51512.0,88922.0,64394.333333333336,4846.0,11178.333333333334,622455.0,4054.0,12575.666666666666,132572.0,894576.0,57837.0,79588.0,40289.0,17141.0,16822.0,7312.0,149385.0,99170.66666666667,4286.0,17548.0,1619.0,9122.5,144344.5,4127.0,7167.5,25546.666666666668,10710.666666666666,0.0,4407.0,23457.0,3735.0,109792.0,4726.5,341811.0,7318.666666666667,2085.6666666666665,22814.333333333332,19417.5,3302.0,38541.666666666664
1981-01-01,6118.0,2691.0,24303.333333333332,57507.0,96937.33333333333,69463.33333333333,9215.0,11224.666666666666,709135.0,4614.666666666667,11575.0,154003.66666666666,1017366.0,66800.0,92331.0,45625.0,19632.333333333332,18952.0,8310.0,166742.33333333334,120062.0,4788.0,21176.0,1797.0,9802.5,165866.0,5072.0,7343.2,28888.333333333332,11990.0,0.0,5050.0,26443.333333333332,4097.666666666667,129049.0,5412.0,377640.0,7692.666666666667,1861.0,25010.666666666668,17917.0,3605.5,41632.0
1982-01-01,8701.666666666666,2650.0,25432.666666666668,60018.666666666664,103043.0,74438.33333333333,6491.0,12987.666666666666,786017.0,5137.333333333333,10454.333333333334,174997.66666666666,1131034.0,73675.0,102607.5,49000.0,20603.666666666668,20753.333333333332,9440.0,184794.66666666666,137443.33333333334,5285.333333333333,24675.0,2003.0,10152.0,187848.5,5435.333333333333,7491.7,28910.666666666668,13238.333333333334,0.0,5892.666666666667,29553.666666666668,4292.333333333333,144629.0,6073.5,411278.0,8932.666666666666,1943.6666666666667,27059.0,26598.5,3893.0,42529.0
1983-01-01,13785.666666666666,3430.0,26203.0,67495.33333333333,109004.33333333333,79079.33333333333,7069.0,12605.666666666666,851942.0,5567.333333333333,9836.0,192746.33333333334,1227716.0,80365.0,113621.0,52372.0,21819.666666666668,21469.333333333332,9966.333333333334,196980.0,151976.66666666666,5645.666666666667,27993.0,2139.0,10360.5,202512.0,6162.333333333333,7992.2,34433.0,14338.333333333334,-72.0,6664.0,32215.333333333332,4503.666666666667,155501.0,7048.0,443714.0,10852.666666666666,1670.0,28364.0,27671.0,4407.0,45996.666666666664
1984-01-01,10866.666666666666,3644.0,26805.333333333332,66395.66666666667,117498.66666666667,86556.66666666667,7073.5,14859.333333333334,907686.0,5956.0,10106.0,217463.66666666666,1311655.0,85854.0,125372.5,56316.0,22560.0,22276.0,10556.0,198772.0,173376.66666666666,6094.333333333333,29537.0,2344.0,10992.0,217915.0,6310.666666666667,8325.7,31989.0,15377.666666666666,-11.0,7570.333333333333,34998.333333333336,5235.0,163941.0,7335.0,476308.0,10946.0,1673.3333333333333,29516.666666666668,17232.0,4707.0,48532.0
1985-01-01,13130.666666666666,4076.0,28005.0,71241.0,127142.33333333333,93418.0,6511.5,17333.666666666668,974971.0,6492.0,11164.333333333334,241464.33333333334,1418686.0,93596.0,135425.5,61440.0,24640.666666666668,23748.0,11518.333333333334,208686.66666666666,190519.33333333334,6694.666666666667,32157.0,2609.0,11995.5,234229.5,6774.666666666667,8938.1,35060.0,16897.666666666668,-550.0,8695.666666666666,38779.666666666664,5432.0,173505.0,7607.0,519884.0,13733.333333333334,1481.3333333333333,31109.666666666668,17345.5,4744.5,50892.0
1986-01-01,19055.666666666668,4113.0,29054.666666666668,78002.33333333333,136707.0,101551.0,5458.5,19249.333333333332,1033848.0,7119.333333333333,11668.0,256420.66666666666,1512769.0,101377.0,145468.0,66442.0,25524.666666666668,25275.333333333332,11889.333333333334,219716.33333333334,201788.66666666666,7160.666666666667,34935.0,2836.0,12773.0,249146.0,6797.666666666667,9512.0,41003.666666666664,18066.333333333332,-271.0,9827.333333333334,42173.0,5857.0,183249.0,7252.0,561347.0,14388.666666666666,1195.0,32164.0,18029.5,4427.5,53529.333333333336
1987-01-01,18658.0,3986.0,30263.0,80619.0,146061.66666666666,109616.66666666667,5734.5,17801.333333333332,1065228.0,7668.0,12612.0,264094.6666666667,1586742.0,109753.0,156965.0,72523.0,26356.666666666668,26288.0,12055.0,226016.66666666666,209772.66666666666,7762.0,37230.0,3042.0,13498.5,261771.5,7015.666666666667,9844.2,42200.666666666664,19264.333333333332,133.0,11092.333333333334,45787.333333333336,5989.0,190178.0,7806.0,599896.0,14682.0,1226.6666666666667,33214.333333333336,16140.0,4563.5,55297.333333333336
1988-01-01,12406.0,4484.0,31858.333333333332,77313.33333333333,156910.66666666666,117873.0,5703.0,18230.666666666668,1122388.0,8016.0,13061.0,279266.6666666667,1678321.0,120536.0,169911.5,79999.0,28473.333333333332,27263.333333333332,13160.666666666666,239488.33333333334,222484.66666666666,8840.0,40537.0,3285.0,14242.5,276824.0,7575.333333333333,10439.2,36483.666666666664,21002.0,-527.0,12549.0,50406.666666666664,6423.333333333333,202277.0,8909.5,641669.0,16227.333333333334,1362.6666666666667,34889.666666666664,14814.0,4911.5,58793.0
1989-01-01,12989.666666666666,4834.0,33573.0,81555.0,171919.0,128110.66666666667,5043.5,18774.0,1201839.0,8864.0,14653.0,301714.3333333333,1810702.0,135437.0,190858.0,90246.0,32239.333333333332,28406.0,14310.0,256648.66666666666,241398.0,10025.333333333334,45191.0,3592.0,15751.5,286175.5,7747.0,11810.4,38393.0,23036.0,-542.0,14480.0,56405.666666666664,7092.333333333333,214961.0,10410.0,700705.0,17200.666666666668,1265.6666666666667,36222.0,15983.0,4991.5,63263.0
1990-01-01,11666.0,5094.0,36257.333333333336,86132.33333333333,186626.0,139488.0,5195.0,20669.666666666668,1290904.0,9663.333333333334,16990.666666666668,320117.6666666667,1952868.0,156465.0,214905.5,106225.0,34528.666666666664,30289.333333333332,15412.0,280610.0,255548.0,11273.333333333334,50240.0,3907.0,17151.0,297837.0,8327.0,12813.5,39995.0,25260.0,-671.0,16567.333333333332,62764.333333333336,7799.333333333333,230186.0,11599.0,766321.0,17932.666666666668,1147.3333333333333,38405.333333333336,19879.0,5359.0,70897.66666666667
1991-01-01,12277.0,5422.0,39322.0,88776.0,197952.0,148664.0,4889.0,-4235.666666666667,1356230.0,10362.0,15585.666666666666,314371.0,2072189.0,188100.0,246758.0,130899.0,35680.333333333336,32020.0,16750.666666666668,310638.0,272460.6666666667,12539.666666666666,57201.0,4220.0,18306.5,313265.0,9161.0,13468.1,39929.0,27782.0,-523.0,18198.333333333332,68882.0,8448.666666666666,247895.0,12015.0,839981.0,19090.666666666668,1208.6666666666667,40837.0,28791.5,5990.5,79809.33333333333
1992-01-01,13521.333333333334,6118.0,42592.0,95115.33333333333,209940.66666666666,158114.66666666666,5861.5,26371.0,1488857.0,11502.666666666666,17387.666666666668,355129.6666666667,2254212.0,215870.0,280165.5,150384.0,37137.666666666664,33413.333333333336,17861.0,343498.6666666667,278144.0,13648.0,65487.0,4503.0,19521.5,310415.0,9480.0,15413.2,44094.333333333336,30532.333333333332,-304.0,19930.0,75613.0,9028.0,262452.0,12109.0,907036.0,20797.333333333332,1475.6666666666667,42948.666666666664,41292.5,5971.5,88537.66666666667
1993-01-01,16259.666666666666,6064.0,46651.333333333336,100517.66666666667,221831.66666666666,164661.33333333334,10138.5,27110.666666666668,1544575.0,11878.666666666666,15672.333333333334,359649.3333333333,2339289.0,235603.0,307143.5,162256.0,40764.666666666664,34868.666666666664,19736.0,357698.0,281828.6666666667,15203.333333333334,73347.0,4599.0,21740.0,303652.0,8855.333333333334,16439.2,47505.0,33252.333333333336,0.0,21089.666666666668,81423.33333333333,9292.0,273536.0,12814.0,950427.0,20092.666666666668,1503.3333333333333,44470.0,36454.0,6083.0,93505.66666666667
1994-01-01,12100.666666666666,5970.0,47964.333333333336,101173.33333333333,232907.0,172180.66666666666,10146.0,26900.0,1584968.0,12505.333333333334,16009.333333333334,368947.3333333333,2417185.0,251454.0,330554.0,172441.0,42737.0,36960.0,20690.0,370353.6666666667,289386.6666666667,15821.0,79014.0,4871.0,23660.0,296960.5,11085.666666666666,18547.3,45914.666666666664,34974.333333333336,0.0,23962.0,87262.33333333333,9915.666666666666,286373.0,12460.0,999065.0,20922.0,1872.0,46952.333333333336,25759.0,6210.5,98913.0
1995-01-01,11408.0,5752.0,50211.333333333336,103735.66666666667,246164.33333333334,182255.0,11429.5,24856.0,1659541.0,12990.666666666666,17121.333333333332,394011.0,2536460.0,267116.0,358384.0,181945.0,44374.0,38672.666666666664,22635.0,384285.0,315337.3333333333,17317.333333333332,85171.0,5133.0,25814.0,292609.5,10915.666666666666,19748.7,47067.0,36884.333333333336,0.0,26115.666666666668,93308.0,10347.666666666666,299577.0,12701.0,1051396.0,21507.333333333332,1686.3333333333333,48201.0,23761.5,6011.0,101111.66666666667
