Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1972-04-01,8998.5,246626.0,328724.0,,1254371.0,505084.0,1266369.0,,1211504.0,1235384.0,54865.0,258458.0,30985.0,614677.0,146608.0
1972-07-01,10286.25,252996.0,334872.0,,1276852.0,516022.0,1290566.0,,1239989.0,1259097.0,50577.0,263027.0,31470.0,625355.0,149188.0
1972-10-01,5618.25,268437.0,350228.0,,1321413.0,532833.0,1328904.0,,1269037.0,1296747.0,59867.0,264396.0,32157.0,638659.0,157412.0
1973-01-01,7912.5,287137.0,367689.6666666667,,1366940.0,562084.0,1377490.0,,1309500.0,1344667.0,67990.0,274948.0,32823.0,650970.0,164436.0
1973-04-01,13654.5,296526.0,377401.3333333333,,1395681.0,584307.0,1413887.0,,1349946.0,1380436.0,63941.0,287782.0,33451.0,664954.0,164626.0
1973-07-01,7320.75,298557.0,385167.3333333333,,1424077.0,587512.0,1433838.0,,1371563.0,1399760.0,62274.0,288955.0,34078.0,679010.0,167315.0
1973-10-01,18744.75,300944.0,393287.6666666667,,1451296.0,614925.0,1476289.0,,1416145.0,1441534.0,60144.0,313981.0,34755.0,694055.0,167309.0
1974-01-01,9389.25,301480.0,401012.6666666667,,1478690.0,614038.0,1491209.0,,1435538.0,1455861.0,55671.0,312558.0,35347.0,710099.0,167071.0
1974-04-01,13062.0,307485.0,406768.0,,1512640.0,627568.0,1530056.0,,1474972.0,1493966.0,55085.0,320083.0,36091.0,730881.0,171607.0
1974-07-01,4183.5,322512.0,419370.0,,1554448.0,634634.0,1560026.0,,1496289.0,1523183.0,63737.0,312122.0,36843.0,753761.0,171631.0
1974-10-01,15334.5,332523.0,421046.3333333333,,1579232.0,652016.0,1599679.0,,1539455.0,1562294.0,60224.0,319493.0,37385.0,781413.0,166250.0
1975-01-01,-7521.0,310690.0,435326.3333333333,,1626144.0,642961.0,1616116.0,,1567917.0,1578374.0,48199.0,332272.0,37742.0,806776.0,166378.0
1975-04-01,-10465.5,323601.0,446370.6666666667,,1665807.0,655602.0,1651853.0,,1598059.0,1613496.0,53794.0,332000.0,38357.0,831664.0,164587.0
1975-07-01,-1041.0,340679.0,462698.0,,1711208.0,692659.0,1709820.0,,1646694.0,1670458.0,63126.0,351981.0,39362.0,845331.0,171830.0
