Date,Commercial and health care,Computers and peripheral equipment,"Entertainment, literary, and artistic originals",Equipment,Industrial equipment,Information processing equipment,Intellectual property products,Manufacturing,"Mining exploration, shafts, and wells",Multifamily,Nonresidential,Nonresidential structures,Other,Other equipment,Other structures,Permanent site,Power and communication,Private fixed investment in information processing equipment and software,Private fixed investment in new structures,Private fixed investment in structures,Research and development,Residential,Residential structures,Single family,Software,Structures,Transportation equipment
1961-04-01,-0.2,0.06,0.67,3.35,1.65,2.41,1.22,-0.93,0.18,1.3,6.2,-1.5,2.35,0.95,-0.665,1.16,-0.09,2.43,-1.14,-1.2,0.53,0.52,0.36,-0.14,0.02,-0.6,1.6
1961-07-01,0.67,0.49,0.17,1.05,0.33,0.47,0.74,-0.68,0.42,1.79,2.88,0.26,-0.02,-0.47,0.5149999999999999,5.57,0.1,0.5,6.53,7.1,0.55,7.06,6.27,3.78,0.02,3.5500000000000003,1.69
1961-10-01,0.29,0.02,-0.24,4.260000000000001,3.18,0.71,0.46,-0.17,0.33,1.78,8.59,-0.28,0.69,-0.28,-0.225,4.76,-0.47,0.8,3.76,4.28,0.62,4.67,4.04,2.98,0.09,2.14,4.93
1962-01-01,-0.36,0.19,-0.41,1.7850000000000001,0.05,1.72,0.09,0.16,0.28,2.02,5.48,1.87,1.52,0.36,0.8600000000000001,1.84,0.59,1.76,4.21,4.23,0.46,2.41,2.34,-0.19,0.04,2.115,1.51
1962-04-01,1.53,-0.02,-0.23,1.91,0.42,-0.64,0.44,1.6,0.08,2.09,7.58,3.5,-0.62,2.01,0.56,3.56,-0.32,-0.56,7.2,7.58,0.6,4.26,3.71,1.46,0.07,3.79,1.9
1962-07-01,4.73,0.47,-0.03,0.3,-1.7,-0.61,0.42,-1.62,-0.32,1.52,3.34,2.49,-1.08,0.83,-0.96,1.3,0.08,-0.49,1.96,2.24,0.33,-0.08,-0.53,-0.22,0.12,1.1199999999999999,1.96
1962-10-01,-2.98,0.72,0.24,0.23,-1.31,0.65,0.83,1.22,-0.45,0.83,-1.02,-2.19,-0.07,0.87,-0.215,-0.22,0.35,0.86,-2.67,-2.5,0.37,-0.2,-0.47,-1.05,0.21,-1.25,0.18
1963-01-01,-1.37,0.84,0.49,1.35,2.24,1.54,1.23,-1.72,-0.11,2.3,0.72,-3.13,0.7,1.63,0.735,3.09,0.04,1.77,1.03,1.41,0.51,4.62,4.16,0.79,0.24,0.7049999999999998,-2.77
1963-04-01,0.84,0.76,0.47,1.665,2.11,1.6,1.39,0.9,0.02,2.93,9.02,4.27,0.85,1.41,2.335,6.58,1.31,1.99,13.32,14.33,0.54,10.03,9.05,3.66,0.38,7.164999999999999,-1.88
1963-07-01,-0.54,0.52,-0.07,3.08,1.92,1.14,0.7,0.84,-0.01,1.37,7.5,0.65,0.62,1.64,0.15,3.11,-0.35,1.48,2.84,3.35,0.44,2.72,2.19,1.74,0.34,1.675,1.42
1963-10-01,-0.99,0.28,-0.09,2.875,1.19,0.3,0.48,0.82,-0.27,0.89,8.14,1.88,0.02,1.44,1.2550000000000001,3.47,0.75,0.52,5.71,6.28,0.36,4.38,3.83,2.58,0.22,3.14,2.82
1964-01-01,0.53,0.52,-0.53,1.8800000000000001,0.77,1.4,-0.08,-0.25,0.33,0.02,5.96,2.4,0.88,0.36,1.155,7.55,0.43,1.45,10.64,10.89,0.4,8.61,8.24,7.53,0.05,5.444999999999999,1.14
1964-04-01,2.04,0.11,-0.18,1.455,0.07,0.44,0.36,0.57,0.56,-1.75,6.12,2.85,0.33,0.9,-0.39,-6.8,0.4,0.44,-3.46,-4.01,0.53,-6.86,-6.31,-5.06,0.0,-2.005,1.47
1964-07-01,1.54,0.14,0.12,2.585,2.16,0.07,0.68,1.46,-0.02,-0.74,8.76,2.86,-0.07,-0.01,-0.31,-1.71,0.18,0.03,1.07,0.82,0.61,-2.08,-1.78,-0.98,-0.05,0.4099999999999999,2.9
1964-10-01,0.16,0.34,0.19,2.1500000000000004,3.57,1.94,0.78,0.84,0.34,-1.31,5.82,0.57,1.6,2.57,-0.555,-2.04,0.27,1.9,-1.49,-1.54,0.63,-2.28,-2.05,-0.73,-0.04,-0.7699999999999999,-3.76
1965-01-01,1.78,0.33,0.59,6.085,0.71,0.34,1.71,1.71,-0.47,0.08,18.6,4.72,0.01,0.87,1.205,-0.63,0.64,0.55,4.75,5.44,0.91,0.73,0.03,-0.71,0.21,2.7199999999999998,10.07
1965-04-01,0.71,0.62,0.31,1.49,1.98,1.68,1.23,1.87,0.67,-0.22,10.7,6.31,1.06,-0.52,1.565,0.69,0.55,1.89,7.2,7.61,0.72,1.12,0.89,0.91,0.2,3.8049999999999997,-0.2
1965-07-01,0.51,0.24,0.32,4.13,2.71,1.28,1.25,-0.09,-0.86,-0.49,10.59,0.97,1.04,2.41,-0.010000000000000009,1.74,0.46,1.58,1.72,1.75,0.65,0.67,0.75,2.23,0.29,0.875,1.82
1965-10-01,1.67,1.06,0.23,3.085,0.97,1.71,1.3,2.1,-0.16,-1.0,11.8,4.25,0.65,1.51,-0.045,-2.2,0.79,2.02,1.9,2.12,0.76,-2.21,-2.35,-1.19,0.31,1.0599999999999998,1.84
1966-01-01,-0.69,0.62,0.5,4.41,1.67,2.13,1.37,1.42,0.23,0.69,12.76,2.54,1.51,1.75,0.52,2.73,0.84,2.43,5.2,5.57,0.58,2.99,2.66,2.03,0.29,2.79,3.27
1966-04-01,-2.29,1.01,0.11,2.68,2.86,2.03,1.1,1.02,-0.37,-1.82,4.75,-1.85,1.02,0.62,-0.97,-7.31,0.58,2.32,-9.89,-10.31,0.7,-8.6,-8.04,-5.49,0.29,-5.155,-0.07
1966-07-01,1.09,1.01,0.02,0.38499999999999995,0.64,1.55,1.05,0.59,0.32,-1.47,3.87,2.02,0.54,0.07,1.26,-6.64,0.73,1.84,-0.55,-1.39,0.74,-3.43,-2.57,-5.17,0.29,-0.6950000000000001,-1.57
1966-10-01,-0.84,1.01,0.0,1.165,0.47,1.39,1.01,-1.34,-0.47,-2.27,0.22,-3.31,0.37,0.43,-0.785,-8.95,-0.37,1.71,-12.47,-13.54,0.7,-10.42,-9.15,-6.68,0.32,-6.7700000000000005,0.17
1967-01-01,0.51,-0.01,-0.04,-3.29,0.45,-0.76,0.75,-0.39,-0.09,-0.89,-4.81,0.93,-0.76,-3.17,-1.14,0.19,0.54,-0.7,-1.74,-1.52,0.73,-2.54,-2.67,1.08,0.06,-0.755,-3.11
1967-04-01,-0.95,0.19,-0.26,0.99,-1.13,0.38,0.32,-2.36,0.25,0.36,-0.49,-2.8,0.19,0.83,2.465,5.09,0.99,0.41,6.82,7.95,0.55,10.74,9.61,4.73,0.03,3.9750000000000005,1.87
1967-07-01,-0.51,-0.09,0.16,-1.06,-2.52,-0.5,0.73,0.95,-0.2,1.89,-0.48,0.9,-0.41,-1.03,-1.125,8.01,0.29,-0.56,5.08,6.29,0.63,5.38,4.18,6.12,-0.06,3.14,1.84
1967-10-01,0.7,0.59,0.19,2.7649999999999997,1.06,1.95,0.76,-1.3,-0.12,2.15,6.33,0.21,1.36,1.38,0.5549999999999999,5.02,0.86,2.04,5.63,6.26,0.48,6.22,5.42,2.87,0.09,3.13,0.92
1968-01-01,1.7,0.11,0.06,3.125,0.72,0.5,0.8,0.72,0.27,1.63,8.84,1.88,0.39,-1.1,-0.565,-0.05,0.69,0.63,2.79,2.2,0.61,0.41,0.91,-1.68,0.13,1.1,6.05
1968-04-01,0.83,0.33,0.4,-1.94,-1.35,-0.52,1.06,-0.58,-0.31,1.42,-3.61,-0.73,-0.86,-0.05,-0.355,2.47,0.13,-0.37,1.77,1.83,0.5,2.62,2.5,1.05,0.16,0.915,-1.97
1968-07-01,-0.26,0.47,0.11,2.04,-0.71,0.77,0.73,-0.35,0.22,1.64,4.09,-0.48,0.29,1.14,-0.010000000000000009,1.02,0.94,0.92,0.84,1.54,0.47,2.27,1.32,-0.61,0.15,0.7699999999999999,2.71
1968-10-01,0.28,-0.04,-0.07,2.795,0.94,-0.3,0.63,1.41,0.14,0.47,8.14,1.95,-0.26,2.01,0.48999999999999994,0.48,0.28,-0.11,3.07,3.56,0.52,1.64,1.13,0.01,0.18,1.78,2.91
1969-01-01,1.66,0.49,-0.34,2.9699999999999998,1.66,2.22,0.34,0.4,-0.2,2.29,7.7,1.51,1.73,0.81,0.235,3.66,-0.67,2.48,5.76,5.34,0.42,3.9,4.25,1.38,0.26,2.67,1.16
1969-04-01,0.9,0.9,-0.07,0.865,0.91,2.44,0.8,-0.54,0.31,1.54,3.14,0.75,1.54,-0.74,0.0049999999999999906,-0.94,-0.16,2.85,-0.48,-0.41,0.46,-1.01,-1.23,-2.48,0.41,-0.20499999999999996,-1.01
1969-07-01,2.5,0.56,-0.55,1.0699999999999998,1.39,2.04,0.31,0.5,0.29,-0.2,6.69,4.28,1.47,-0.14,1.345,-2.6,0.03,2.52,3.62,3.41,0.38,-0.83,-0.67,-2.4,0.48,1.705,-1.17
1969-10-01,0.09,0.45,-0.21,-0.5449999999999999,-0.44,1.35,0.46,-0.35,-0.1,-0.24,-1.32,-0.57,0.9,0.48,-2.52,-3.11,0.54,1.79,-8.15,-7.98,0.23,-7.28,-7.58,-2.88,0.44,-3.99,-2.55
1970-01-01,0.38,1.06,-0.5,-0.505,1.14,0.99,-0.22,-0.65,-0.36,-0.53,-2.02,-0.7,-0.08,0.47,1.485,-3.49,0.39,1.35,-0.18,-0.76,-0.08,0.03,0.51,-2.96,0.37,-0.38,-3.63
1970-04-01,-1.74,-0.18,-0.32,-0.27499999999999997,-0.72,0.35,-0.28,0.59,-0.14,-1.54,-1.78,-0.86,0.53,0.64,-1.195,-4.5,1.04,0.62,-7.64,-7.14,-0.22,-6.18,-6.78,-2.96,0.27,-3.565,-0.85
1970-07-01,-0.28,-0.81,-0.22,0.53,-0.04,-1.38,-0.28,0.03,-0.39,1.54,1.13,0.51,-0.57,1.48,0.024999999999999994,5.55,1.2,-1.38,4.84,6.16,-0.06,5.81,4.34,4.01,0.0,3.075,0.93
1970-10-01,-0.43,0.27,-0.14,-4.23,-1.72,0.46,-0.68,-0.92,0.4,1.46,-10.34,-1.0,0.19,-0.8,2.41,5.47,-0.29,0.31,8.86,9.06,-0.39,10.25,9.86,4.01,-0.16,4.525,-6.53
1971-01-01,0.95,-0.01,-0.11,1.3099999999999998,-2.21,-0.8,0.09,-0.56,-0.21,1.5,2.5,-0.11,-0.78,-0.99,-0.595,6.75,0.03,-0.83,5.13,5.76,0.24,5.97,5.24,5.24,-0.04,2.88,6.56
1971-04-01,2.14,1.71,0.08,1.995,-0.74,2.55,0.48,-1.23,-0.58,2.06,4.36,0.03,0.83,0.82,1.2249999999999999,8.54,0.1,2.82,11.17,11.4,0.13,11.52,11.14,6.48,0.27,5.705,1.26
1971-07-01,2.26,0.75,0.24,0.61,0.1,0.64,0.52,-1.63,0.21,2.55,1.41,-0.26,-0.11,0.24,-0.015000000000000013,5.26,-0.72,0.9,5.47,5.34,0.01,5.67,5.74,2.71,0.26,2.67,0.2
1971-10-01,0.26,0.86,0.38,2.765,1.01,1.34,0.87,0.04,0.11,1.43,6.0,-0.2,0.48,-0.44,0.4700000000000001,3.64,-0.46,1.69,3.98,4.53,0.14,4.92,4.18,2.2,0.35,2.2649999999999997,3.45
1972-01-01,0.62,1.7,0.14,3.245,-0.34,1.91,0.89,-0.54,0.27,2.64,9.6,2.4,0.21,1.89,0.89,7.03,1.61,2.11,10.35,10.77,0.56,8.56,7.95,4.39,0.2,5.39,2.83
1972-04-01,0.56,-0.26,0.23,1.815,1.66,0.03,0.63,0.11,0.07,1.6,4.63,0.45,0.29,1.33,-0.175,2.73,-0.32,0.18,2.72,2.81,0.25,2.42,2.28,1.13,0.15,1.405,0.54
1972-07-01,-0.09,0.33,-0.05,1.86,1.5,0.79,0.31,-0.13,-0.07,-0.39,4.05,0.17,0.46,1.84,0.33,-0.1,0.31,0.94,-0.3,0.58,0.21,0.55,-0.46,0.29,0.15,0.285,-0.55
1972-10-01,0.5,-0.37,-0.04,5.895,1.24,1.27,0.53,-0.2,0.33,1.23,13.7,1.47,1.64,2.51,1.355,2.56,0.48,1.26,5.79,6.39,0.59,5.01,4.32,1.33,-0.01,3.1950000000000003,6.66
1973-01-01,0.71,0.16,-0.34,4.275,1.61,1.9,0.49,1.61,-0.12,0.96,11.83,2.85,1.73,2.86,0.665,3.69,0.38,2.1,6.9,7.6,0.62,4.81,4.05,2.73,0.21,3.8,2.04
1973-04-01,0.72,0.41,-0.02,3.3899999999999997,2.55,1.46,0.52,0.5,0.09,-0.24,9.94,2.62,1.05,0.49,-2.24,-1.69,0.64,1.67,-3.33,-4.22,0.33,-6.86,-5.95,-1.45,0.21,-2.11,2.26
1973-07-01,-0.06,-0.12,-0.01,0.92,1.47,0.92,0.4,1.28,0.33,-0.41,4.22,1.95,1.04,-0.13,-0.024999999999999998,-5.35,0.43,1.16,-2.71,-3.41,0.17,-5.4,-4.66,-4.94,0.24,-1.705,-0.42
1973-10-01,-0.81,0.79,0.07,1.245,2.07,2.08,0.47,0.39,0.16,-2.85,2.11,-0.84,1.29,-1.23,1.675,-8.95,-0.5,2.36,-6.39,-6.36,0.12,-5.51,-5.55,-6.1,0.27,-3.1799999999999997,-0.46
1974-01-01,-0.08,-0.02,0.12,0.15,0.8,0.62,0.1,0.58,0.19,-3.43,-0.16,-0.48,0.64,0.14,-0.42000000000000004,-7.6,-0.37,0.76,-9.45,-8.13,-0.15,-7.57,-8.96,-4.17,0.13,-4.07,-1.36
1974-04-01,-0.06,-0.17,0.03,-0.095,0.49,-0.08,0.16,0.18,0.8,-3.57,-0.41,-0.37,0.09,0.47,-0.9,-3.21,-0.8,0.01,-5.09,-4.89,0.04,-4.51,-4.72,0.36,0.09,-2.445,-1.12
1974-07-01,-2.21,2.1,-0.06,0.38,-0.76,2.36,0.38,-0.76,0.0,-3.24,-2.82,-4.06,0.27,-0.3,0.29500000000000004,-4.81,-0.36,2.71,-7.05,-7.55,0.09,-3.59,-2.99,-1.57,0.35,-3.775,-0.44
1974-10-01,-1.28,0.13,-0.17,-3.065,-1.85,0.86,0.04,1.67,0.1,-4.17,-6.71,-0.92,0.73,0.93,-2.46,-8.03,-1.29,1.33,-12.77,-13.74,-0.26,-13.12,-11.85,-3.86,0.47,-6.87,-5.82
1975-01-01,-2.29,-0.44,-0.24,-5.56,-4.24,-1.54,-0.11,-1.34,0.59,-2.89,-15.82,-4.59,-1.1,-4.41,0.16500000000000004,-6.55,-0.36,-0.96,-10.45,-9.61,-0.45,-5.01,-5.87,-3.66,0.57,-4.800000000000001,-0.91
1975-04-01,-3.68,-0.79,-0.15,-1.675,-1.58,-1.43,-0.24,-0.04,0.34,-3.5,-7.23,-3.56,-0.64,0.83,2.94,-2.99,-0.38,-1.39,-3.06,-0.88,-0.13,2.75,0.5,0.51,0.04,-0.43999999999999995,-1.21
1975-07-01,0.06,-0.21,0.3,1.115,-0.19,-0.2,0.64,-0.11,0.67,-1.05,3.42,0.62,0.01,-0.32,1.165,4.05,0.28,-0.32,6.68,7.27,0.46,6.72,6.06,5.1,-0.12,3.6350000000000002,2.88
1975-10-01,-0.24,0.51,0.52,1.25,-0.33,0.13,1.08,-0.31,0.31,0.23,3.66,0.14,-0.38,1.7,0.03,4.21,0.62,0.1,3.73,4.64,0.6,4.57,3.59,3.97,-0.03,2.32,0.94
1976-01-01,1.15,0.62,0.94,1.18,1.11,1.18,1.88,0.62,0.43,0.0,6.87,2.66,0.56,-1.08,2.4850000000000003,6.45,-0.5,1.32,12.88,13.12,0.79,10.49,10.22,6.45,0.14,6.5600000000000005,1.13
1976-04-01,-0.53,1.28,0.6,1.49,0.0,2.5,1.13,-1.18,-0.54,0.06,3.89,-0.14,1.22,-0.22,-0.8150000000000001,4.41,2.12,2.88,2.89,2.65,0.15,2.87,3.03,4.35,0.38,1.325,0.66
