Date,Command-basis gross domestic product,Command-basis gross national product,Command-basis net domestic product,Command-basis net national product,Final sales to domestic purchasers,Final sales to private domestic purchasers,Gross domestic product (GDP),Gross domestic purchases,Gross national product,Net domestic product,Net national product
1975-01-01,-4.3,-4.8,-5.4,-6.0,-0.7,-2.2,-4.8,-8.2,-5.3,-6.0,-6.6
1975-04-01,2.8,2.8,2.8,2.8,2.5,4.4,2.9,1.5,2.9,2.9,2.9
1975-07-01,7.6,7.8,8.4,8.6,6.9,6.7,7.0,10.2,7.2,7.7,7.9
1975-10-01,5.6,6.3,6.1,6.8,4.8,5.1,5.5,5.3,6.1,6.0,6.6
1976-01-01,9.1,8.9,10.2,9.9,7.9,10.1,9.3,11.6,9.1,10.4,10.2
1976-04-01,2.9,3.0,2.9,3.0,2.4,4.3,3.0,4.0,3.1,2.9,3.1
1976-07-01,1.9,1.9,1.7,1.7,3.1,4.4,2.2,2.6,2.2,2.0,2.0
1976-10-01,3.6,3.6,3.6,3.7,6.4,8.3,2.9,3.7,3.0,2.8,2.9
1977-01-01,4.0,4.5,4.0,4.6,6.1,6.8,4.8,7.0,5.3,5.0,5.6
1977-04-01,6.8,6.7,7.3,7.1,5.8,6.4,8.0,7.4,7.8,8.7,8.4
1977-07-01,6.2,6.1,6.5,6.4,3.6,4.1,7.4,6.6,7.3,7.9,7.8
1977-10-01,1.8,1.3,1.4,0.9,4.8,6.4,0.0,1.5,-0.4,-0.7,-1.2
1978-01-01,0.6,1.2,0.0,0.7,2.1,2.6,1.3,2.9,1.8,0.8,1.4
1978-04-01,16.0,15.1,17.9,16.9,12.9,13.5,16.4,12.8,15.4,18.4,17.3
1978-07-01,3.8,4.1,3.6,4.0,3.9,3.9,4.1,4.1,4.4,4.0,4.3
1978-10-01,6.3,6.8,6.5,7.1,4.5,4.7,5.5,4.6,6.0,5.6,6.2
1979-01-01,0.2,0.2,-0.6,-0.5,1.2,2.4,0.7,0.6,0.8,0.0,0.1
1979-04-01,0.1,0.6,-0.7,-0.1,0.2,-0.8,0.4,0.5,0.9,-0.3,0.3
1979-07-01,1.5,2.4,1.0,2.0,4.0,4.7,3.0,1.2,3.9,2.7,3.7
1979-10-01,-0.6,-0.7,-1.5,-1.5,0.4,-0.2,1.0,-0.3,0.9,0.4,0.4
1980-01-01,-1.2,-1.1,-2.1,-2.0,-0.2,-1.7,1.3,0.3,1.3,0.7,0.8
1980-04-01,-8.8,-9.1,-10.8,-11.2,-11.1,-14.0,-8.0,-11.4,-8.3,-10.0,-10.3
1980-07-01,-0.4,-0.7,-1.2,-1.5,2.4,4.6,-0.5,-3.3,-0.8,-1.3,-1.6
1980-10-01,8.2,7.1,9.0,7.7,6.2,7.9,7.7,10.2,6.6,8.4,7.1
1981-01-01,8.0,8.2,8.8,9.0,2.6,1.9,8.1,9.1,8.3,8.9,9.1
1981-04-01,-2.6,-2.8,-3.7,-3.9,0.8,0.8,-2.9,-3.1,-3.1,-4.1,-4.3
1981-07-01,5.8,6.0,6.1,6.4,0.9,1.5,4.9,5.2,5.1,5.1,5.3
1981-10-01,-3.9,-3.4,-5.3,-4.7,-0.9,-2.4,-4.3,-3.4,-3.8,-5.7,-5.1
1982-01-01,-5.9,-6.1,-7.7,-7.9,-0.4,-0.4,-6.1,-5.6,-6.2,-7.9,-8.0
1982-04-01,2.4,2.9,2.1,2.7,-1.2,-2.0,1.8,1.0,2.4,1.5,2.1
1982-07-01,-1.2,-1.9,-2.0,-2.9,0.6,0.0,-1.5,1.7,-2.3,-2.5,-3.3
1982-10-01,0.4,0.2,-0.1,-0.3,5.8,5.7,0.2,0.3,0.0,-0.4,-0.6
1983-01-01,6.2,6.1,6.8,6.7,4.9,5.2,5.4,5.7,5.3,5.8,5.7
1983-04-01,9.6,9.8,10.8,11.1,8.6,10.0,9.4,12.1,9.6,10.6,10.8
1983-07-01,8.4,8.4,9.4,9.3,10.1,10.9,8.2,10.6,8.2,9.1,9.1
1983-10-01,9.3,9.4,10.3,10.4,6.6,10.3,8.6,9.7,8.7,9.5,9.6
1984-01-01,8.2,7.7,8.9,8.4,5.3,5.5,8.1,10.4,7.6,8.7,8.2
1984-04-01,7.0,6.9,7.4,7.3,8.3,8.1,7.1,7.9,7.0,7.5,7.5
1984-07-01,4.4,4.3,4.2,4.1,4.0,4.2,3.9,4.2,3.8,3.7,3.6
1984-10-01,3.8,3.3,3.5,2.9,6.4,5.8,3.3,3.8,2.9,2.9,2.4
1985-01-01,4.5,3.7,4.3,3.4,5.8,6.2,3.9,2.9,3.1,3.6,2.7
1985-04-01,3.6,3.7,3.2,3.4,5.1,4.1,3.6,5.4,3.7,3.2,3.3
1985-07-01,5.9,5.3,6.0,5.3,6.4,5.6,6.3,6.1,5.7,6.4,5.8
1985-10-01,2.4,2.7,2.0,2.3,2.2,2.4,3.0,3.6,3.3,2.7,3.0
1986-01-01,3.6,3.3,3.5,3.1,3.0,3.0,3.8,2.8,3.5,3.7,3.3
1986-04-01,3.0,2.4,2.7,2.0,4.5,3.4,1.8,3.1,1.2,1.3,0.5
1986-07-01,3.2,3.5,2.9,3.1,5.9,5.2,3.9,4.2,4.1,3.6,3.8
1986-10-01,1.8,1.2,1.0,0.4,1.7,2.6,2.2,1.4,1.6,1.5,0.8
1987-01-01,2.4,2.6,1.7,1.9,-0.5,-1.2,3.0,2.6,3.1,2.4,2.6
1987-04-01,3.9,4.2,3.8,4.1,5.2,5.7,4.4,4.1,4.7,4.4,4.7
1987-07-01,3.2,3.2,3.4,3.3,4.2,5.2,3.5,3.0,3.4,3.7,3.6
1987-10-01,7.2,7.3,8.4,8.6,1.7,0.6,7.0,6.7,7.2,8.3,8.4
1988-01-01,2.0,2.4,1.2,1.6,3.8,5.7,2.1,0.1,2.5,1.3,1.8
1988-04-01,5.3,5.1,5.2,5.0,3.5,4.1,5.4,3.8,5.1,5.3,5.0
1988-07-01,3.2,3.0,2.9,2.7,2.6,3.2,2.4,2.6,2.1,1.9,1.6
1988-10-01,4.9,5.0,5.0,5.2,5.3,4.7,5.4,5.6,5.6,5.7,5.8
1989-01-01,4.2,4.1,4.3,4.2,1.4,2.2,4.1,3.2,4.1,4.2,4.1
1989-04-01,2.7,2.6,2.5,2.4,2.5,1.6,3.1,1.7,3.0,3.0,2.9
1989-07-01,3.5,3.7,3.5,3.6,4.4,4.6,3.0,2.5,3.2,2.8,3.0
1989-10-01,0.6,1.1,0.1,0.6,0.6,0.2,0.8,1.0,1.2,0.2,0.7
1990-01-01,3.8,3.7,3.8,3.6,4.3,3.7,4.4,4.1,4.3,4.5,4.3
1990-04-01,2.3,2.5,2.1,2.3,-0.4,-0.7,1.5,0.9,1.6,1.1,1.2
1990-07-01,-0.6,-0.9,-1.2,-1.6,0.6,0.6,0.3,-0.2,-0.1,-0.3,-0.7
1990-10-01,-5.3,-3.8,-6.7,-5.0,-3.0,-4.4,-3.6,-4.9,-2.1,-4.7,-3.0
1991-01-01,-0.4,-1.1,-1.0,-1.8,-2.2,-3.4,-1.9,-2.5,-2.6,-2.7,-3.5
1991-04-01,4.2,3.4,4.5,3.5,2.7,2.9,3.2,2.5,2.4,3.2,2.3
1991-07-01,2.5,2.2,2.4,2.1,1.1,1.7,2.0,2.3,1.8,1.9,1.6
1991-10-01,1.4,1.9,1.1,1.7,-0.5,0.2,1.4,1.4,1.9,1.2,1.8
1992-01-01,4.5,4.4,4.9,4.8,6.3,7.1,4.9,4.4,4.8,5.3,5.2
1992-04-01,4.3,4.2,4.6,4.5,3.6,4.8,4.4,5.1,4.3,4.7,4.6
1992-07-01,3.5,3.3,3.7,3.4,4.0,4.4,4.0,3.8,3.8,4.2,4.0
1992-10-01,4.5,4.5,4.7,4.8,4.9,6.2,4.2,5.0,4.3,4.5,4.5
1993-01-01,0.8,1.2,0.5,0.9,0.4,1.8,0.7,1.5,1.1,0.3,0.7
1993-04-01,2.3,1.9,2.2,1.7,3.5,4.4,2.3,2.7,1.9,2.2,1.7
1993-07-01,2.7,3.0,2.6,3.0,4.0,4.9,1.9,2.6,2.2,1.7,2.1
1993-10-01,5.6,4.6,6.0,4.8,5.2,6.1,5.6,6.0,4.6,6.0,4.8
1994-01-01,4.0,4.4,4.2,4.6,2.8,4.7,3.9,4.5,4.3,4.1,4.5
1994-04-01,5.3,5.0,5.6,5.3,3.8,4.2,5.5,5.8,5.2,5.9,5.5
1994-07-01,2.0,1.9,1.7,1.6,3.9,3.1,2.4,2.1,2.3,2.1,2.0
1994-10-01,4.7,4.6,4.8,4.8,3.7,5.5,4.7,5.0,4.6,4.8,4.7
1995-01-01,1.4,1.9,0.9,1.5,2.3,2.5,1.4,1.6,1.9,1.0,1.6
1995-04-01,0.8,1.0,0.3,0.5,2.5,2.7,1.2,1.0,1.3,0.7,0.9
1995-07-01,3.8,3.1,3.8,2.9,3.1,4.1,3.5,1.7,2.7,3.3,2.4
1995-10-01,3.0,3.6,2.8,3.6,2.3,3.9,2.7,2.7,3.3,2.5,3.2
1996-01-01,3.2,3.5,3.0,3.4,4.7,5.1,3.0,4.0,3.4,2.8,3.2
1996-04-01,7.0,6.5,7.5,6.9,5.9,6.1,6.8,7.1,6.4,7.3,6.7
1996-07-01,3.2,3.0,2.9,2.7,3.2,3.9,3.6,4.8,3.5,3.5,3.3
1996-10-01,4.3,4.5,4.2,4.5,3.7,3.9,4.2,2.5,4.5,4.1,4.4
1997-01-01,3.5,3.1,3.2,2.7,3.7,5.0,2.6,3.8,2.2,2.2,1.7
