Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1974-04-01,0.4725,0.31,-0.21999999999999997,,0.32,0.3,,1.45,1.01,-0.5,-0.01,-0.06,1.21,-0.56
1974-07-01,-2.0250000000000004,0.95,-0.19333333333333333,,-1.03,-2.99,,-5.4,-3.69,1.67,-3.94,-0.04,1.17,-1.91
1974-10-01,2.94,-0.11,-3.2466666666666666,,-5.46,-0.95,,0.1,-1.47,-1.64,-0.84,-0.07,2.22,-2.81
1975-01-01,-5.94,-7.72,1.26,,3.14,-6.03,,-2.06,-4.68,-2.72,1.69,-0.1,2.18,-0.94
1975-04-01,-0.8975,1.37,1.5599999999999998,,4.09,1.14,,1.77,2.9,1.12,-0.23,-0.01,2.7,-0.95
1975-07-01,2.2575,2.87,1.7733333333333334,,4.02,5.67,,5.08,6.91,1.95,2.8,0.11,-0.13,1.48
1975-10-01,0.42000000000000004,1.0,1.11,,4.94,2.22,,5.72,5.34,-0.23,1.22,0.15,1.89,1.39
1976-01-01,2.7975,4.0,1.3,,5.57,5.68,,7.18,9.11,2.13,1.68,0.2,1.14,2.48
1976-04-01,1.29,1.98,0.5633333333333334,,1.25,2.57,,2.24,2.89,0.73,0.58,0.07,0.96,-0.56
1976-07-01,-0.34500000000000003,1.71,1.2266666666666668,,2.66,1.39,,2.63,2.11,-0.42,-0.33,0.09,1.58,-0.76
1976-10-01,-1.965,0.97,1.1866666666666668,,5.54,-0.84,,2.38,2.85,0.55,-1.81,0.07,1.87,1.89
1977-01-01,0.5625,1.89,0.8533333333333335,,4.08,2.04,,2.75,4.72,2.08,0.15,0.11,1.88,0.92
1977-04-01,1.1475,1.48,1.6033333333333333,,6.47,3.93,,8.29,7.86,-0.3,2.45,0.14,1.04,3.03
1977-07-01,2.2275,2.2,1.5566666666666666,,4.44,5.31,,7.07,7.3,0.34,3.11,0.11,2.29,-0.19
1977-10-01,-2.385,0.56,1.58,,3.19,-0.81,,0.07,-0.1,-0.06,-1.37,0.1,1.22,-0.4
1978-01-01,0.7275,0.69,-1.2466666666666668,,0.32,-0.9,,2.04,1.17,-0.75,-1.59,0.12,2.21,-0.02
1978-04-01,0.3075,6.17,6.293333333333333,0.44,15.97,9.85,15.94,14.6,16.18,1.78,3.69,0.2,2.46,4.07
1978-07-01,0.3,-0.43,0.5633333333333334,0.34,3.69,1.24,3.74,4.64,3.96,-0.56,1.67,0.12,1.26,1.58
1978-10-01,0.24,4.58,2.263333333333333,0.31,5.16,3.71,5.17,4.41,5.36,1.08,-0.87,0.13,1.12,0.65
1979-01-01,-0.375,1.26,0.7766666666666667,0.18,1.22,0.67,0.54,0.39,0.6,0.33,-0.59,0.12,1.71,-1.66
1979-04-01,0.33,-2.03,-0.8233333333333333,0.14,-0.02,-0.79,0.29,2.7,0.33,-2.27,1.24,0.1,0.82,0.4
1979-07-01,-2.0475,-0.05,3.34,0.3,5.73,2.29,2.71,4.26,2.88,-1.26,2.34,0.12,-0.13,0.85
1979-10-01,-0.495,-0.23,0.10000000000000002,0.37,1.66,-0.51,0.64,2.04,0.87,-1.03,-0.28,0.14,1.73,-0.21
1980-01-01,0.41250000000000003,0.45,0.8333333333333334,0.18,0.72,1.79,1.08,2.15,1.18,-0.89,1.34,0.08,0.63,-1.16
