Date,Clothing and footwear,Durable goods,Energy goods and services,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing,Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Market-based PCE,Market-based PCE excluding food and energy,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,PCE excluding food and energy,"PCE excluding food, energy, and housing",PCE services excluding energy and housing,Recreation services,Recreational goods and vehicles,Services,Transportation services
1963-07-01,0.54,0.73,0.39,0.24,0.55,0.45,0.04,0.48,-0.06,2.14,0.39,0.15,3.16,0.76,1.26,0.15,,,0.05,1.41,0.09,0.48,0.61,4.7,3.94,2.19,0.39,0.11,3.4,0.15
1963-10-01,-0.28,0.9,0.02,0.22,0.61,0.17,0.32,0.29,0.15,0.72,0.42,0.37,2.43,0.75,0.66,0.2,,,0.51,-0.18,-0.04,-0.22,0.62,3.18,2.44,2.03,-0.31,0.14,2.65,0.16
1964-01-01,1.25,2.27,0.71,0.32,-0.13,0.45,0.57,0.89,0.31,4.91,0.68,0.89,2.86,0.59,1.01,0.36,,,0.64,2.64,0.2,0.63,0.05,6.93,6.33,2.19,0.33,0.54,3.18,0.14
1964-04-01,0.81,1.55,0.44,0.06,0.3,1.21,0.32,0.64,0.43,4.46,0.22,0.9,2.75,0.68,0.69,0.16,,,0.29,2.92,0.12,0.47,0.46,5.62,4.93,2.11,-0.07,0.49,2.8,0.15
1964-07-01,0.46,1.97,0.71,0.0,0.48,1.02,0.2,0.22,0.53,4.95,0.11,0.81,2.65,0.73,0.91,0.12,,,1.23,2.98,0.24,0.97,0.0,5.86,5.13,1.73,0.08,0.28,2.65,0.17
1964-10-01,0.3,-1.8,0.06,0.01,0.03,0.25,0.19,0.29,-0.07,-1.52,0.01,0.46,2.66,0.97,1.12,0.0,,,-2.35,0.28,0.01,-0.19,0.45,0.84,-0.14,1.56,0.29,0.26,2.66,0.12
1965-01-01,0.03,5.43,-0.07,-0.01,0.27,0.77,0.57,0.02,-0.07,6.9,0.37,0.41,2.33,0.7,0.74,0.37,,,5.02,1.48,0.2,0.75,0.22,8.52,7.83,1.62,0.05,0.19,2.32,0.08
1965-04-01,-0.05,0.12,0.77,0.2,0.26,0.51,0.69,0.25,0.44,1.54,0.45,-0.07,2.74,0.71,1.07,0.25,,,-0.54,1.43,-0.05,0.52,0.63,3.2,2.5,1.9,-0.01,0.45,2.94,0.17
1965-07-01,0.62,2.06,0.45,0.28,0.3,0.95,0.36,0.56,0.41,4.33,0.49,-0.43,2.44,0.87,0.92,0.21,,,0.9,2.27,0.23,0.29,1.07,5.65,4.78,1.81,0.01,0.37,2.72,0.19
1965-10-01,1.16,2.62,0.28,0.21,0.66,3.1,0.5,1.0,0.2,8.29,0.44,0.0,3.22,0.8,0.89,0.23,,,0.34,5.67,0.45,1.21,0.85,8.35,7.55,2.56,0.16,0.84,3.44,0.17
1966-01-01,0.64,2.88,0.12,0.06,0.14,-0.29,0.45,0.32,0.02,4.02,0.38,0.4,1.96,0.49,0.59,0.32,,,1.63,1.13,0.45,0.76,0.22,6.21,5.72,1.44,0.04,0.49,2.02,0.11
1966-04-01,0.11,-2.45,0.7,-0.11,-0.1,0.16,0.05,-0.04,0.42,-1.04,0.26,0.81,2.17,0.48,0.74,0.37,,,-2.66,1.41,-0.11,0.72,0.23,0.17,-0.31,1.31,0.22,0.35,2.07,0.23
1966-07-01,0.35,1.94,0.33,-0.11,-0.18,0.21,0.15,0.59,0.23,3.05,0.05,0.66,1.71,0.73,0.81,0.16,,,0.73,1.11,0.05,0.31,0.09,4.11,3.38,0.78,0.19,0.57,1.6,-0.01
1966-10-01,-0.27,-0.02,0.21,-0.11,-0.28,-0.31,-0.22,-0.15,0.09,-0.42,0.11,0.64,2.2,0.61,0.72,0.22,,,-0.13,-0.4,-0.08,0.09,0.79,1.78,1.17,1.37,0.24,0.34,2.1,0.32
1967-01-01,0.02,-1.11,-0.05,0.12,0.66,1.32,-0.2,0.07,-0.03,0.56,0.27,0.08,1.65,0.48,0.47,0.15,,,-1.19,1.67,-0.01,0.36,0.45,1.05,0.57,1.3,0.06,0.02,1.76,0.13
1967-04-01,0.23,2.51,0.6,0.19,0.31,0.38,-0.21,0.19,0.17,3.64,0.52,0.04,1.75,0.6,1.03,0.33,,,2.04,1.13,0.16,0.35,0.73,4.61,4.01,0.92,-0.2,0.12,1.94,0.04
1967-07-01,0.13,-0.47,-0.14,0.27,0.6,-0.35,0.27,0.02,-0.04,-0.6,0.54,-0.03,2.4,0.82,0.73,0.27,,,-0.71,-0.13,-0.05,0.12,0.32,2.56,1.73,1.95,0.34,0.27,2.67,0.17
1967-10-01,-0.18,0.15,0.63,0.22,-0.06,0.85,0.25,0.18,0.31,0.81,0.45,0.06,1.44,0.79,1.12,0.23,,,-0.67,0.66,0.11,-0.33,0.43,0.99,0.2,0.55,-0.51,0.53,1.66,0.14
1968-01-01,0.85,3.72,0.52,0.05,-0.15,0.81,0.96,0.32,0.37,6.66,0.28,0.69,3.23,0.73,0.9,0.23,,,3.04,2.94,0.14,0.92,0.14,8.61,7.88,2.39,0.48,0.22,3.27,0.22
1968-04-01,0.21,1.31,-0.11,-0.04,1.03,1.17,0.22,0.44,0.03,3.12,0.43,0.98,3.15,0.44,0.32,0.47,,,0.42,1.81,0.33,0.41,0.13,5.17,4.72,2.8,0.28,0.12,3.11,0.19
1968-07-01,0.52,2.78,0.46,-0.01,0.13,1.16,0.28,0.63,0.19,5.13,0.11,0.63,2.59,0.76,1.05,0.12,,,1.55,2.35,0.09,0.49,0.15,6.09,5.34,1.55,0.12,0.51,2.58,0.22
1968-10-01,-0.21,-0.36,0.1,0.0,0.08,0.21,0.03,-0.14,-0.03,-0.33,0.33,0.67,2.14,0.83,1.0,0.33,,,-0.32,0.03,0.05,0.06,-0.03,1.5,0.67,1.17,0.2,0.06,2.14,0.18
1969-01-01,0.3,1.17,0.62,-0.02,-0.51,0.8,-0.02,0.14,0.36,2.78,0.29,0.47,1.75,0.74,1.03,0.3,,,0.66,1.61,0.1,0.14,0.46,3.08,2.35,0.74,0.13,0.26,1.73,0.19
