Date,Change in private inventories,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross private domestic investment,Imports,Intellectual property products,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1963-07-01,0.61,0.44,0.93,-0.09,3.12,1.54,0.42333333333333334,4.12,2.15,-0.41,0.11,1.77,-0.5,1.35,0.85,1.13,3.32,0.41,0.52,1.0,0.1
1963-10-01,-1.0,0.53,0.84,0.76,-1.48,1.83,0.3833333333333333,-0.98,0.83,0.06,0.07,-1.22,0.81,-0.26,-0.11,1.18,1.99,0.65,0.5533333333333333,0.5,0.27
1964-01-01,0.43,1.34,0.55,1.01,-0.25,2.17,1.23,0.31,2.6,0.03,-0.02,-0.65,1.04,0.4,1.55,0.88,4.75,1.3,0.7000000000000001,0.57,0.35
1964-04-01,-0.07,0.91,0.45,-0.08,-0.04,-0.11,0.7400000000000001,0.81,-0.18,-0.36,0.06,-0.52,-0.44,0.48,1.7,0.97,4.24,-1.08,0.5233333333333333,0.85,0.46
1964-07-01,0.54,1.17,0.8,0.63,-0.28,1.04,0.98,0.13,1.58,-0.43,0.11,-0.08,0.21,-0.2,1.76,1.36,4.48,-0.33,0.5766666666666667,0.42,0.46
1964-10-01,0.03,-1.08,0.68,0.41,-0.42,0.56,-0.31666666666666665,-0.03,0.59,-0.44,0.12,-0.57,-0.03,0.14,0.17,0.92,0.7,-0.35,0.5433333333333333,0.4,0.11
1965-01-01,3.46,3.22,1.81,-2.42,-0.38,2.92,0.7733333333333334,-0.02,6.38,0.63,0.26,-0.65,-1.79,0.26,0.87,2.82,5.47,0.1,0.4466666666666667,0.36,0.74
1965-04-01,-1.67,0.07,0.44,3.08,0.11,1.83,0.6,1.07,0.17,-1.85,0.19,-0.16,1.23,0.27,0.85,1.66,2.68,0.17,0.7033333333333333,0.96,1.02
1965-07-01,0.74,1.23,1.31,-0.46,1.89,1.79,0.6666666666666666,2.99,2.53,-0.06,0.2,1.17,-0.52,0.72,1.35,1.69,4.2,0.1,0.5566666666666668,1.1,0.17
1965-10-01,-0.92,1.51,0.97,1.24,1.17,1.52,1.83,1.74,0.61,-0.82,0.21,1.1,0.41,0.06,3.29,1.89,6.78,-0.37,0.5666666666666667,0.57,0.72
1966-01-01,3.29,1.72,1.37,-0.51,1.27,2.43,0.64,1.74,5.71,-0.44,0.21,1.37,-0.95,-0.1,0.67,1.96,3.59,0.46,0.24,0.47,0.38
1966-04-01,-0.38,-1.45,0.88,0.59,1.38,-0.67,-0.3466666666666667,1.67,-1.06,-0.43,0.18,0.82,0.16,0.55,0.83,0.76,0.6,-1.43,0.6,0.29,-0.3
