Date,Average of GDP and GDI,Gross domestic income (GDI),Real disposable personal income
2017-07-01,2.4,2.4,3.5
2017-10-01,3.0,3.0,3.5
2018-01-01,3.1,2.9,3.5
2018-04-01,3.1,2.9,3.3
2018-07-01,3.3,3.4,3.7
2018-10-01,2.4,2.8,4.0
2019-01-01,2.5,3.0,4.2
2019-04-01,2.4,2.7,3.2
2019-07-01,2.5,2.2,2.8
2019-10-01,3.0,2.6,2.3
2020-01-01,1.1,1.0,1.7
2020-04-01,-7.8,-8.1,11.9
2020-07-01,-2.0,-2.6,7.2
2020-10-01,-0.5,0.1,4.5
2021-01-01,1.8,1.7,16.3
2021-04-01,12.6,12.9,-2.4
2021-07-01,6.1,7.2,0.0
2021-10-01,5.4,5.1,1.0
2022-01-01,4.2,4.5,-12.5
2022-04-01,2.8,3.0,-5.5
2022-07-01,2.6,2.9,-2.9
2022-10-01,1.1,1.0,-0.8
2023-01-01,1.6,1.0,4.8
2023-04-01,2.2,1.6,6.1
2023-07-01,2.3,1.3,4.8
2023-10-01,3.1,2.9,4.6
2024-01-01,3.1,3.2,3.4
2024-04-01,3.1,3.2,2.8
2024-07-01,2.8,2.9,2.5
2024-10-01,2.6,2.7,2.2
