Date,Agriculture,Air,Disability,Economic affairs,Education,Elementary and secondary,Energy,Executive and legislative,Federal,Fire,General economic and labor affairs,General public service,Government,Gross expenditures,Health,Health (net),Higher,Highways,Housing and community services,Housing and other,Income security,Law courts,Less: Sales to other sectors,Libraries,Libraries and other,National defense,Natural resources,Other,Other economic affairs,Police,Postal service,Prisons,Public order and safety,Recreation and culture,Retirement,Sanitation,Sewerage,Space,State and local,Tax collection and financial management,Transit and railroad,Transportation,Unemployment,Water,Welfare and social services
1982-01-01,7144.666666666667,2850.0,580.0,86487.33333333333,102799.0,76920.33333333333,13766.0,9916.666666666666,348336.0,5465.333333333333,7460.666666666667,35965.333333333336,711473.0,45113.0,29979.0,20438.0,20597.333333333332,33064.333333333336,10211.0,2415.0,11644.0,5438.666666666667,24675.0,2224.0,7396.5,245404.0,7924.0,6299.2,37083.333333333336,13935.0,998.0,6658.0,31497.0,5310.333333333333,1157.0,3192.0,5521.0,11682.0,363137.0,9430.666666666666,2668.0,41615.666666666664,52.0,3169.5,9800.666666666666
1983-01-01,8442.666666666666,3504.6666666666665,688.6666666666666,91657.33333333333,108759.33333333333,81914.0,13770.666666666666,9030.0,382357.0,5894.666666666667,7217.0,38463.333333333336,766557.0,47942.0,32343.0,19950.0,21334.0,34424.333333333336,9815.0,2683.0,12805.333333333334,5814.666666666667,27993.0,2374.0,7658.0,272055.0,8727.333333333334,6771.4,39026.333333333336,15141.666666666666,1119.0,7584.0,34434.0,5521.333333333333,1048.0,3191.0,4966.0,12666.0,384200.0,11377.666666666666,2840.0,44187.333333333336,46.0,3360.25,10924.0
1984-01-01,6241.666666666667,3804.0,746.6666666666666,94475.0,118252.66666666667,89371.0,13732.0,9719.666666666666,411805.0,6325.333333333333,7575.666666666667,40856.666666666664,827910.0,50838.0,35643.5,21301.0,22845.333333333332,37788.333333333336,10934.666666666666,2636.0,13847.333333333334,6265.0,29537.0,2622.0,8342.0,298764.0,8902.333333333334,7390.6,37612.333333333336,16343.333333333334,1512.0,8658.0,37591.333333333336,5943.333333333333,1099.0,3414.0,5804.0,13105.0,416106.0,11426.666666666666,2958.6666666666665,48126.0,69.0,3638.25,11838.0
1985-01-01,9008.0,4269.333333333333,771.3333333333334,103623.33333333333,128864.33333333333,97137.66666666667,14210.0,10656.666666666666,452909.0,6907.333333333333,8429.666666666666,46576.333333333336,910516.0,55302.0,38149.0,23146.0,25270.333333333332,41028.666666666664,11874.0,2886.0,14775.333333333334,6910.666666666667,32157.0,2914.0,8987.5,329501.0,9674.666666666666,7919.2,42490.333333333336,17983.666666666668,1458.0,10061.333333333334,41863.0,6618.666666666667,1014.0,3757.0,5947.0,13916.0,457607.0,14714.0,2870.6666666666665,51855.666666666664,95.0,3888.25,12783.333333333334
1986-01-01,12249.666666666666,4695.0,625.3333333333334,109547.0,140006.0,106103.66666666667,13206.333333333334,11012.666666666666,481658.0,7576.666666666667,8828.0,50146.0,976076.0,58923.0,39890.5,23988.0,27012.666666666668,43903.666666666664,13376.333333333334,2983.0,15273.333333333334,7414.333333333333,34935.0,3203.0,9584.0,352359.0,9752.666666666666,8599.1,45290.333333333336,19262.0,1537.0,11480.666666666666,45733.333333333336,7138.666666666667,973.0,4076.0,6619.0,13814.0,494418.0,15908.666666666666,2919.3333333333335,55047.333333333336,97.0,3993.0,13478.0
1987-01-01,8716.666666666666,4980.333333333333,768.6666666666666,110650.33333333333,150067.33333333334,114582.0,12725.333333333334,11900.0,502785.0,8172.0,9550.0,53375.0,1031530.0,63230.0,42675.0,26000.0,28116.0,46154.666666666664,14730.333333333334,3101.0,16202.0,8058.666666666667,37230.0,3446.0,10304.5,372385.0,10114.333333333334,9414.0,42933.333333333336,20552.0,2388.0,12991.333333333334,49774.0,7514.0,1038.0,4377.0,7807.0,14959.0,528745.0,15861.333333333334,2948.0,57744.0,37.0,4259.0,14257.666666666666
1988-01-01,3858.3333333333335,5329.333333333333,722.6666666666666,110435.33333333333,162340.33333333334,123989.66666666667,12413.666666666666,11680.666666666666,511440.0,8570.666666666666,10011.333333333334,55306.666666666664,1078855.0,68943.0,46512.0,28406.0,30380.666666666668,48543.333333333336,15435.666666666666,3190.0,17307.333333333332,9313.333333333334,40537.0,3770.0,11171.0,382101.0,10594.0,10824.666666666666,38426.666666666664,22474.0,1978.0,14760.666666666666,55118.666666666664,8082.666666666667,1015.0,5176.0,8053.0,16844.0,567416.0,17363.333333333332,3001.3333333333335,60779.0,24.0,4438.75,15367.666666666666
1989-01-01,6735.666666666667,5895.666666666667,866.0,118950.0,178366.0,135925.0,11980.0,12272.666666666666,534104.0,9540.0,11648.666666666666,59566.666666666664,1151862.0,76224.0,50297.0,31033.0,33656.666666666664,49679.333333333336,16136.666666666666,3293.0,19241.0,10647.333333333334,45191.0,4103.0,12325.0,391228.0,10968.666666666666,11866.666666666666,42864.666666666664,24722.0,1966.0,17058.333333333332,61968.333333333336,8984.0,957.0,5973.0,7872.0,19644.0,617758.0,18422.666666666668,3430.0,62989.333333333336,183.0,4565.5,17156.666666666668
1990-01-01,6478.0,6536.666666666667,1014.6666666666666,130122.0,194341.33333333334,148564.33333333334,12288.333333333334,14753.333333333334,562377.0,10346.0,14314.333333333334,65442.666666666664,1238556.0,84552.0,54510.0,34312.0,36390.0,53964.0,17695.666666666668,3708.0,21493.333333333332,11952.666666666666,50240.0,4509.0,13175.0,405007.0,11525.333333333334,12842.444444444445,46500.333333333336,26975.333333333332,2509.0,19558.333333333332,68832.33333333333,9994.333333333334,909.0,6497.0,8488.0,22416.0,676179.0,19256.0,3885.6666666666665,68677.66666666667,129.0,4988.75,19295.333333333332
1991-01-01,7800.666666666667,7354.333333333333,1184.6666666666667,135015.33333333334,207015.33333333334,158922.66666666666,12484.333333333334,15439.333333333334,582936.0,11028.666666666666,12357.333333333334,69355.33333333333,1298951.0,92536.0,58479.0,35335.0,38327.666666666664,55885.666666666664,18417.0,3905.0,23570.0,13242.0,57201.0,4862.0,13630.0,414041.0,12362.0,13397.333333333334,47205.0,29301.333333333332,2955.0,21616.333333333332,75188.0,10613.333333333334,1019.0,6843.0,8786.0,23774.0,716014.0,21084.666666666668,4037.3333333333335,71961.33333333333,135.0,5351.0,21010.666666666668
1992-01-01,8641.333333333334,8122.666666666667,1375.3333333333333,142694.66666666666,218588.0,168399.0,14773.333333333334,15719.333333333334,588453.0,12184.0,13848.666666666666,73835.66666666667,1344500.0,101066.0,60981.5,35579.0,39987.666666666664,57366.666666666664,18673.0,4281.0,26424.666666666668,14300.666666666666,65487.0,5081.0,14222.0,406465.0,12873.0,14656.888888888889,52394.0,32109.333333333332,3104.0,22922.333333333332,81516.0,11110.666666666666,1083.0,6975.0,9288.0,24057.0,756047.0,22446.0,4096.333333333333,74262.0,146.0,5197.0,22933.333333333332
