Date,Consumption expenditures,Equipment,Federal,Gross investment,Intellectual property products,National defense,Nondefense,Research and development,Software,State and local,Structures
1991-10-01,-1.3379999999999999,-1.312,-4.46,-0.714,0.007999999999999998,-5.46,1.0,-0.066,0.076,1.57,0.588
1992-01-01,0.6,0.33199999999999996,0.69,0.9719999999999999,0.057999999999999996,-0.66,1.35,-0.042,0.1,2.91,0.5820000000000001
1992-04-01,0.03600000000000001,0.252,-0.45,-0.43200000000000005,-0.10800000000000001,-0.6,0.15,-0.12000000000000002,0.01,-0.32,-0.576
1992-07-01,1.9940000000000002,0.38,2.47,-0.47400000000000003,-0.078,2.05,0.41,-0.11400000000000002,0.036,0.11,-0.774
1992-10-01,0.32799999999999996,-0.22000000000000003,0.13,-0.31799999999999995,-0.148,-1.29,1.42,-0.162,0.016000000000000004,-0.17,0.04800000000000002
1993-01-01,-1.8920000000000001,-1.034,-5.67,-1.192,-0.057999999999999996,-4.66,-1.0,-0.038,-0.018,0.8,-0.098
1993-04-01,-0.664,-0.06000000000000001,-1.8,0.316,-0.10400000000000001,-1.54,-0.26,-0.09,-0.014000000000000002,1.84,0.48
1993-07-01,0.758,-0.752,-0.63,-0.656,-0.038,-0.54,-0.1,-0.024,-0.016,1.21,0.132
1993-10-01,0.22799999999999998,0.596,0.3,0.4,-0.16,0.32,-0.03,-0.134,-0.026000000000000002,1.12,-0.03400000000000001
1994-01-01,-1.124,-1.1800000000000002,-5.84,-1.982,0.008,-5.47,-0.36,0.013999999999999999,-0.01,0.98,-0.812
1994-04-01,0.09,0.28200000000000003,-0.69,0.5700000000000001,-0.002000000000000001,-0.03,-0.66,-0.003999999999999999,0.0,2.68,0.29
1994-07-01,2.136,0.7859999999999999,4.09,1.452,0.028000000000000004,3.58,0.52,-0.024,0.054000000000000006,2.83,0.638
1994-10-01,-1.5539999999999998,-0.844,-4.31,-0.6839999999999999,-0.074,-5.44,1.12,-0.046,-0.028000000000000004,0.88,0.23399999999999999
1995-01-01,-0.0040000000000000036,0.53,-0.46,0.476,-0.128,-0.22,-0.24,-0.136,0.012,1.87,0.06999999999999999
1995-04-01,0.418,-0.036,-0.53,0.014000000000000012,-0.05,-0.18,-0.35,0.006,-0.05600000000000001,1.89,0.10399999999999998
1995-07-01,0.026000000000000002,-0.45199999999999996,-1.28,-0.7,-0.034,-1.48,0.2,-0.062,0.028000000000000004,0.23,-0.21799999999999997
1995-10-01,-2.346,-0.254,-5.38,-0.378,0.026000000000000002,-3.37,-2.01,0.068,-0.04,1.26,-0.148
1996-01-01,0.262,1.434,3.11,1.4280000000000002,0.004000000000000001,2.02,1.09,-0.064,0.06799999999999999,-0.44,-0.012
1996-04-01,2.032,-0.314,1.56,0.31199999999999994,0.05,1.27,0.29,-0.008,0.05600000000000001,3.52,0.58
1996-07-01,-0.54,-0.296,-2.06,0.12799999999999997,0.066,-1.75,-0.32,0.012,0.05600000000000001,2.06,0.358
1996-10-01,1.012,-0.764,-0.73,-0.040000000000000036,0.096,-1.08,0.35,0.041999999999999996,0.05,3.52,0.6260000000000001
1997-01-01,-0.442,-0.368,-2.14,-0.8099999999999999,0.10600000000000001,-3.07,0.93,-0.048,0.154,0.08,-0.5519999999999999
1997-04-01,2.414,0.506,3.4,0.38,-0.082,2.78,0.62,-0.05,-0.032,1.88,-0.046
1997-07-01,-0.29599999999999993,0.6980000000000001,-0.64,0.9120000000000001,-0.038,-0.94,0.3,-0.018,-0.018,2.5,0.25
1997-10-01,0.958,0.09,-0.23,-0.196,0.13,0.53,-0.76,0.05600000000000001,0.072,2.25,-0.41200000000000003
1998-01-01,-1.3199999999999998,-0.4040000000000001,-3.71,0.009999999999999972,0.306,-4.97,1.26,0.041999999999999996,0.262,2.29,0.10999999999999996
1998-04-01,2.3939999999999997,0.32,2.95,1.0699999999999998,0.13599999999999998,2.73,0.22,-0.0019999999999999996,0.138,4.24,0.616
1998-07-01,-0.33599999999999997,0.8160000000000001,-0.54,1.448,0.041999999999999996,1.59,-2.13,0.022000000000000002,0.02,3.59,0.5900000000000001
1998-10-01,2.068,-0.418,0.92,-0.9279999999999999,-0.1,-1.5,2.42,-0.032,-0.066,1.46,-0.414
1999-01-01,0.37600000000000006,0.45999999999999996,-0.21,0.726,-0.034,-0.47,0.26,0.06599999999999999,-0.1,3.08,0.304
