Date,Change in private inventories,Durable goods industries,Farm,Food and beverage stores,General merchandise stores,Manufacturing,Merchant wholesale trade,"Mining, utilities, and construction",Motor vehicle and parts dealers,Nondurable goods industries,Nonfarm industries,Nonmerchant wholesale trade,Other industries,Other retail stores,Residual,Retail trade,Wholesale trade
2018-07-01,92854.0,43059.5,-12100.0,3222.0,3965.0,41263.0,48649.0,-9001.0,20238.0,15843.75,103359.0,4001.0,-2027.0,-6222.0,870.0,20875.0,52552.0
2018-10-01,89813.0,58611.5,-13726.0,3250.0,2632.0,-4865.0,61546.0,-8564.0,14816.0,-5266.0,102053.0,4321.0,5606.0,25019.0,-694.0,45831.0,65786.0
2019-01-01,114259.0,31190.5,-18694.0,-450.0,3143.0,49646.0,32767.0,14943.0,17814.0,29273.75,132266.0,12019.0,823.0,1144.0,918.0,21373.0,44799.0
2019-04-01,82473.0,42086.75,-16465.0,4626.0,-3998.0,32650.0,33826.0,16725.0,4116.0,6628.0,98316.0,11500.0,2588.0,-3917.0,768.0,707.0,45343.0
2019-07-01,67510.0,31560.5,-17230.0,-697.0,-1364.0,53012.0,-11997.0,7754.0,15981.0,-3920.5,82878.0,13551.0,4625.0,2109.0,1649.0,15784.0,1581.0
2019-10-01,25300.0,-12558.75,-9982.0,302.0,-7457.0,32037.0,-11569.0,21283.0,-17266.0,20695.75,34460.0,-517.0,5748.0,11960.0,1373.0,-11913.0,-12093.0
2020-01-01,-43045.0,-8248.75,-18214.0,-11988.0,-9523.0,-33655.0,-29845.0,13991.0,48433.0,-33096.0,-24716.0,-23935.0,11781.0,10332.0,1966.0,36404.0,-53611.0
2020-04-01,-262503.0,-106022.0,-11409.0,8471.0,-28335.0,32793.0,-34053.0,-1201.0,-184818.0,33071.5,-250310.0,-1994.0,9058.0,-50007.0,-2757.0,-252493.0,-36201.0
2020-07-01,107461.0,4999.25,-6142.0,6248.0,11328.0,-6524.0,16332.0,2626.0,45949.0,27226.75,111926.0,-3125.0,17395.0,19223.0,4210.0,82583.0,13370.0
2020-10-01,79512.0,7862.25,-11009.0,1213.0,11969.0,-657.0,-2745.0,-1013.0,32401.0,8617.0,88187.0,-4444.0,7796.0,42679.0,4112.0,88214.0,-7104.0
2021-01-01,-21978.0,5886.75,11194.0,1812.0,-4903.0,-12726.0,-5095.0,-17861.0,-48705.0,-11381.0,-31741.0,23003.0,1623.0,29608.0,408.0,-21805.0,17473.0
2021-04-01,-141035.0,-34612.75,-945.0,-3547.0,7957.0,-42373.0,-21887.0,-19871.0,-88255.0,-20483.0,-139217.0,5774.0,8652.0,14317.0,-876.0,-72011.0,-16214.0
2021-07-01,9463.0,6266.0,-2324.0,-768.0,11413.0,-10014.0,20097.0,-27168.0,-33535.0,7111.0,11490.0,12641.0,10696.0,31068.0,-2963.0,5910.0,32694.0
2021-10-01,200093.0,65805.5,-17281.0,-2825.0,27578.0,-3549.0,112935.0,-11239.0,18376.0,42965.75,213955.0,11629.0,9572.0,61809.0,-7639.0,103589.0,124696.0
2022-01-01,195818.0,49863.0,-9948.0,4611.0,36508.0,22499.0,81157.0,-12370.0,8311.0,49302.0,204581.0,19594.0,5919.0,49544.0,-8778.0,96847.0,100794.0
2022-04-01,86718.0,62697.75,-18142.0,2154.0,6799.0,3348.0,70168.0,-3364.0,5404.0,-910.0,102919.0,11233.0,-9045.0,21638.0,-6300.0,35922.0,81297.0
2022-07-01,58761.0,65946.0,-13380.0,-780.0,-17803.0,7613.0,59677.0,4123.0,29083.0,-14567.25,70710.0,9851.0,-6224.0,-16401.0,-938.0,-4063.0,69432.0
2022-10-01,135147.0,57894.0,529.0,-3657.0,-8345.0,44134.0,44201.0,23320.0,27867.0,14834.25,134763.0,20283.0,-1066.0,-19409.0,6607.0,-3023.0,64638.0
2023-01-01,20589.0,-19213.5,-3096.0,6688.0,-669.0,8717.0,-16351.0,14684.0,21660.0,18597.5,23566.0,4223.0,2271.0,-19724.0,3726.0,7688.0,-12070.0
2023-04-01,-215.0,14321.5,-1505.0,-830.0,-105.0,12006.0,-30316.0,-2968.0,33906.0,-23982.25,1183.0,6906.0,5431.0,-22969.0,-873.0,9512.0,-23388.0
2023-07-01,67248.0,10390.75,-1341.0,1343.0,-5611.0,29666.0,-6488.0,5973.0,38330.0,12465.0,68782.0,6181.0,5762.0,-6165.0,-955.0,27929.0,-242.0
2023-10-01,44594.0,16258.75,-3789.0,-3257.0,-4166.0,14868.0,8271.0,9875.0,39764.0,2937.0,48630.0,186.0,4075.0,-20168.0,-824.0,11345.0,8449.0
2024-01-01,17744.0,16780.75,-3075.0,-3004.0,-1281.0,2567.0,-14165.0,8354.0,32954.0,-19048.75,21193.0,-2424.0,4425.0,-4946.0,-2381.0,23053.0,-16581.0
2024-04-01,71668.0,18059.0,2722.0,247.0,2267.0,2562.0,19348.0,-5935.0,52065.0,9000.75,68932.0,-4698.0,1616.0,4558.0,-2837.0,58073.0,14581.0
2024-07-01,57883.0,1238.0,3671.0,2509.0,4411.0,454.0,3218.0,-4653.0,31591.0,12873.0,53966.0,-8049.0,15863.0,9133.0,-80.0,47006.0,-4830.0
2024-10-01,8893.0,-12361.0,3484.0,-1524.0,2057.0,13316.0,-20789.0,3535.0,-6703.0,7497.5,4899.0,919.0,10544.0,2301.0,2415.0,-3842.0,-19872.0
