Date,Economic affairs,Education,Elementary and secondary,Federal,General public service,Government,Gross expenditures,Health,Health (net),Higher,Housing and community services,Income security,Less: Sales to other sectors,Libraries and other,National defense,Other economic affairs,Public order and safety,Recreation and culture,Space,State and local,Transportation
1996-01-01,55.181999999999995,57.49,53.174,63.455,57.175666666666665,57.314,56.861,63.120999999999995,51.608,66.345,55.47866666666667,59.12233333333333,59.175,59.25,63.465,58.561,56.50833333333333,54.77266666666667,76.181,53.809,51.51666666666667
1997-01-01,56.464666666666666,58.535,54.335,64.436,58.342666666666666,58.439,58.053,64.4865,53.753,66.679,56.00633333333334,60.24933333333333,59.961,60.428,64.35,59.72566666666666,57.803666666666665,56.25733333333333,76.984,55.006,52.88933333333333
1998-01-01,57.352666666666664,59.614666666666665,55.611,65.26,58.905,59.433,59.438,65.85300000000001,57.089,67.156,55.99733333333334,61.13966666666666,60.576,61.456,65.152,60.629999999999995,58.986999999999995,57.538666666666664,77.376,56.078,53.826666666666675
1999-01-01,58.94266666666667,61.52333333333333,57.803,66.872,60.51133333333333,61.422,61.515,67.988,61.654,69.667,57.75633333333334,62.84466666666666,61.673,63.246,66.801,62.312999999999995,61.244,59.80766666666667,78.464,58.231,55.48333333333334
2000-01-01,61.266999999999996,63.92666666666667,60.235,69.115,63.39000000000001,64.059,64.132,70.85499999999999,66.996,72.456,58.45766666666666,65.36233333333332,63.234,65.663,69.056,64.67366666666668,64.14266666666667,62.65266666666667,80.333,61.03,57.940666666666665
2001-01-01,62.61600000000001,66.08333333333333,62.684,70.395,64.85199999999999,65.909,66.202,72.2775,69.503,74.83,59.31966666666667,67.07566666666666,65.153,67.633,70.365,66.155,66.18133333333333,64.63333333333334,80.82,63.128,59.44466666666667
2002-01-01,64.21633333333334,67.729,64.319,72.669,67.02433333333333,67.61,67.657,73.493,68.806,75.425,60.782999999999994,69.13333333333333,67.372,68.959,72.712,68.00566666666667,68.26666666666667,66.28500000000001,81.354,64.538,61.21033333333333
2003-01-01,66.08766666666666,70.12566666666667,66.976,75.849,69.95833333333333,70.091,69.786,75.07,67.714,76.682,62.87866666666667,71.55333333333333,70.785,71.322,76.317,70.32900000000001,70.59166666666667,68.63133333333333,82.63,66.646,63.038333333333334
2004-01-01,68.94366666666666,72.906,70.013,78.458,73.08633333333334,73.016,72.855,77.494,70.611,78.101,66.68466666666667,74.334,73.933,74.364,78.965,73.38466666666666,73.74133333333333,72.12766666666666,84.323,69.726,65.93433333333333
2005-01-01,73.40133333333334,76.15566666666666,73.487,81.723,76.77366666666667,76.726,76.026,80.26650000000001,75.13,80.658,71.89566666666667,77.23933333333333,76.501,77.839,82.562,76.64833333333333,76.679,76.278,86.069,73.667,71.02466666666668
2006-01-01,77.27499999999999,79.31633333333333,77.008,84.327,80.01733333333333,80.063,79.121,82.281,78.371,83.863,76.296,79.90933333333334,79.529,81.04,85.452,79.44633333333333,79.33933333333333,80.00333333333333,87.607,77.406,75.44566666666667
2007-01-01,81.96933333333334,82.853,80.846,86.829,83.19333333333333,83.653,82.365,84.961,82.901,87.423,80.24833333333333,82.767,82.157,84.627,88.071,82.43666666666667,82.29766666666667,83.41199999999999,88.935,81.603,81.05966666666667
2008-01-01,86.20733333333334,86.00566666666667,84.507,89.472,86.373,87.213,86.153,88.0155,89.469,90.151,83.188,85.70066666666666,84.568,88.763,90.999,85.80066666666666,85.284,86.969,90.564,85.692,85.75966666666666
2009-01-01,86.28000000000002,86.85866666666668,85.136,89.279,85.303,86.836,86.122,87.628,84.441,89.932,82.43733333333334,86.223,86.995,88.368,90.352,85.71633333333334,85.24333333333334,85.20066666666666,90.736,85.201,86.07733333333333
2010-01-01,88.35966666666667,89.48066666666666,88.326,91.394,87.79733333333333,89.149,88.275,90.012,86.03,92.125,85.34933333333333,88.21533333333333,89.418,91.117,92.273,88.12666666666667,87.41233333333334,86.39666666666666,92.786,87.642,87.955
2011-01-01,91.45733333333334,91.76233333333334,90.777,93.9,90.55933333333333,91.861,91.143,92.6615,91.415,92.97,88.78633333333335,90.64866666666667,91.17,94.094,94.979,90.61166666666666,89.98133333333334,89.38900000000001,94.42,90.494,91.46533333333333
2012-01-01,93.85966666666667,92.93599999999999,92.227,94.783,91.90500000000002,93.46,93.381,93.52099999999999,94.032,93.155,90.47133333333333,92.38,93.252,96.09,95.99,92.33933333333333,91.91433333333333,91.03699999999999,95.111,92.579,94.18599999999999
2013-01-01,95.80066666666666,95.49066666666666,95.466,95.597,94.146,95.634,96.052,95.456,98.841,96.277,92.34966666666666,94.61200000000001,95.065,98.879,96.459,94.40866666666666,94.514,93.682,96.156,95.654,96.15866666666666
2014-01-01,97.39233333333334,97.44599999999998,97.536,97.215,96.52066666666667,97.578,98.151,97.8925,103.193,97.934,94.75233333333334,96.69966666666666,96.316,100.605,97.85,96.468,96.759,96.356,97.848,97.804,97.58633333333334
2015-01-01,97.30466666666666,97.66166666666668,97.516,97.609,96.38499999999999,97.581,98.056,97.7105,100.455,98.361,95.36133333333333,97.31666666666666,97.167,99.564,98.053,97.22866666666668,97.31733333333334,96.31566666666667,98.392,97.567,97.194
2016-01-01,97.50966666666666,97.92533333333334,97.662,98.205,97.104,97.766,97.963,97.824,96.984,97.999,96.681,98.02933333333333,98.34,98.966,98.419,97.70766666666667,97.86399999999999,97.08800000000001,98.276,97.505,97.42899999999999
2017-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-01-01,103.80233333333332,103.492,103.79,102.775,103.99933333333333,103.619,103.295,103.5555,105.865,103.969,104.325,103.04433333333333,102.325,103.186,102.642,103.38933333333334,103.51866666666666,104.27066666666667,102.335,104.126,104.07933333333334
2019-01-01,105.53566666666666,105.26100000000001,105.469,104.352,105.722,105.155,104.433,104.7405,104.668,105.383,106.84433333333334,104.75966666666666,104.395,103.775,104.067,105.37400000000001,105.20833333333333,106.28466666666667,103.555,105.638,105.752
2020-01-01,106.43933333333332,108.521,109.692,105.359,106.81666666666666,107.466,106.318,105.226,103.671,112.002,107.79733333333333,106.347,107.658,106.001,105.287,107.22266666666667,107.90333333333332,108.079,104.751,108.756,106.18766666666666
2021-01-01,112.93566666666668,113.66699999999999,115.847,108.912,113.05900000000001,113.258,112.558,109.703,116.135,118.66,116.23433333333332,110.37133333333334,110.85,111.626,109.227,111.651,112.41300000000001,114.63433333333334,107.121,115.99,113.81533333333334
2022-01-01,121.03466666666668,120.30933333333333,122.569,115.218,123.17200000000001,121.36,121.506,117.788,138.593,124.322,129.93566666666666,117.26166666666667,114.042,119.276,116.361,117.36166666666668,118.78033333333333,124.902,112.064,125.246,123.52866666666667
2023-01-01,124.68966666666667,121.36033333333334,121.697,120.226,126.73200000000001,123.578,122.904,120.77950000000001,135.936,123.107,134.86933333333334,120.77433333333333,117.07,118.774,121.432,122.61566666666666,121.53233333333333,127.149,115.266,125.705,126.23233333333333
