Date,Economic affairs,Education,Elementary and secondary,Federal,General public service,Government,Gross expenditures,Health,Health (net),Higher,Housing and community services,Income security,Less: Sales to other sectors,Libraries and other,National defense,Other economic affairs,Public order and safety,Recreation and culture,Space,State and local,Transportation
1990-01-01,5.566666666666666,3.3333333333333335,3.1,2.1,7.866666666666667,3.2,5.0,5.95,11.1,2.7,4.133333333333334,5.566666666666666,1.0,1.7,0.3,4.166666666666667,4.466666666666667,4.3,11.5,4.1,4.733333333333333
1991-01-01,0.0,4.466666666666667,1.9,0.1,3.1666666666666665,1.2,4.4,4.5,4.9,2.3,0.2333333333333334,4.133333333333334,4.1,-1.3,-0.9,-2.8000000000000003,6.366666666666667,4.333333333333333,3.0,2.2,3.4
1992-01-01,4.166666666666667,1.4666666666666668,1.6,-1.6,2.6,0.5,4.3,3.45,1.9,2.2,-1.3333333333333333,12.799999999999999,5.8,0.2,-4.6,7.6000000000000005,4.833333333333333,2.6333333333333333,-0.4,2.1,2.3333333333333335
1993-01-01,0.9,2.066666666666667,0.1,-3.5,-5.2,-0.8,3.4,2.25,-1.3,6.2,48.56666666666667,-1.633333333333333,5.9,1.5,-5.1,-1.4333333333333336,9.1,1.2333333333333332,-0.9,1.3,3.0666666666666664
1994-01-01,0.3333333333333333,6.266666666666666,2.8,-3.6,-0.13333333333333344,0.1,1.9,2.1,-2.3,6.7,-21.53333333333333,5.3999999999999995,3.9,2.9,-4.9,-2.066666666666667,2.1333333333333333,0.7999999999999999,-4.6,2.8,4.033333333333333
1995-01-01,-1.5999999999999999,5.2,5.2,-2.7,3.966666666666667,0.5,1.6,-0.24999999999999994,-4.8,4.4,-7.3999999999999995,0.3333333333333333,4.4,3.6,-4.0,0.19999999999999998,2.766666666666667,1.6666666666666667,-2.3,2.7,-4.066666666666667
1996-01-01,0.23333333333333336,3.1333333333333333,3.1,-1.2,-5.133333333333334,0.9,-0.7,1.25,-1.3,1.9,9.066666666666668,-0.7666666666666666,-0.5,3.7,-1.6,-1.2666666666666666,5.933333333333334,2.9,3.0,2.3,1.2
1997-01-01,1.4000000000000001,2.2666666666666666,3.9,-0.8,6.466666666666666,1.6,-0.2,1.0,-6.9,5.0,8.9,4.466666666666667,2.4,2.3,-2.8,1.7666666666666666,3.3666666666666667,6.966666666666666,0.1,3.2,1.1666666666666667
1998-01-01,-1.1333333333333335,5.6000000000000005,4.2,-0.9,5.566666666666666,2.4,1.4,3.8,-2.8,5.7,26.266666666666666,13.233333333333333,2.9,3.6,-2.1,-3.266666666666666,7.566666666666666,3.9,-5.4,4.4,1.3333333333333333
1999-01-01,4.266666666666667,4.8,3.4,1.8,4.233333333333333,3.3,3.3,2.7,7.9,2.6,2.466666666666667,1.366666666666667,1.6,4.0,1.4,6.333333333333333,4.466666666666667,-2.766666666666666,-2.2,4.1,2.733333333333334
2000-01-01,2.766666666666667,3.8666666666666667,3.5,0.3,-2.8333333333333335,1.8,2.1,4.6,-4.4,5.2,-38.800000000000004,3.9333333333333336,4.9,5.9,-0.9,4.233333333333333,4.266666666666667,8.566666666666666,-0.4,2.7,1.1666666666666667
2001-01-01,2.1666666666666665,5.866666666666667,2.4,3.9,10.633333333333333,3.8,4.8,5.15,-4.1,6.5,-377.73333333333335,4.833333333333333,8.4,4.5,3.3,1.0333333333333334,4.2,4.266666666666667,2.0,3.7,4.866666666666667
2002-01-01,4.933333333333334,2.6666666666666665,1.9,7.4,4.066666666666666,4.5,4.5,8.5,16.2,-3.2,17.166666666666668,10.699999999999998,0.5,1.6,7.5,4.866666666666667,4.333333333333333,5.733333333333333,-0.5,2.9,10.233333333333333
2003-01-01,0.3999999999999999,-0.7666666666666666,0.6,6.6,-0.8666666666666668,2.1,0.7,8.05,6.8,-2.4,5.166666666666667,0.8999999999999998,-1.6,0.0,8.2,-2.6666666666666665,0.7666666666666666,-2.3000000000000003,1.2,-0.5,4.833333333333333
2004-01-01,-1.3333333333333333,0.46666666666666673,0.3,4.3,5.3,1.5,1.3,1.15,3.6,5.3,-13.700000000000001,-3.1666666666666665,0.4,-0.3,5.7,-0.5666666666666667,1.5666666666666664,-1.2333333333333332,1.8,-0.1,-3.1333333333333333
2005-01-01,-2.566666666666667,1.4666666666666668,0.3,2.0,0.5666666666666667,0.7,0.9,2.6,8.8,1.4,21.5,9.5,-2.3,0.3,2.3,-2.466666666666667,1.3666666666666665,0.26666666666666666,-0.8,0.0,-1.9333333333333336
2006-01-01,0.9,-1.6333333333333335,1.4,2.4,1.9666666666666668,1.6,1.7,1.35,-0.2,3.4,-8.466666666666667,13.6,2.5,-2.2,1.6,3.3333333333333335,2.966666666666667,-0.3,-2.1,1.1,0.4333333333333333
2007-01-01,0.7333333333333333,-0.8333333333333334,0.9,2.0,0.3,1.8,4.9,4.75,10.2,9.1,7.666666666666667,-13.266666666666666,2.5,-0.4,2.8,4.0,3.0,1.1,5.4,1.7,-2.8000000000000003
2008-01-01,-0.4333333333333334,1.0333333333333334,-0.1,6.3,3.3000000000000007,2.5,2.9,6.1,2.4,5.8,5.633333333333333,-3.033333333333333,3.1,-2.0,6.9,-0.5333333333333333,4.9,2.066666666666667,4.0,0.2,1.2333333333333332
2009-01-01,3.7000000000000006,1.4666666666666668,0.0,6.2,6.8,3.6,3.1,7.8500000000000005,2.1,4.1,4.566666666666666,2.766666666666667,3.5,2.4,5.7,5.1000000000000005,3.6333333333333333,4.6000000000000005,1.8,1.9,1.8333333333333333
2010-01-01,2.733333333333334,-1.4802973661668753e-16,-3.7,4.0,0.2666666666666666,-0.1,0.0,2.05,-3.3,1.7,0.8666666666666666,1.2666666666666666,1.6,-1.5,2.9,5.1000000000000005,-0.6999999999999998,2.5999999999999996,-2.3,-2.8,1.2333333333333332
2011-01-01,-5.933333333333334,-0.03333333333333336,-3.8,-2.7,-4.966666666666667,-3.2,-0.9,0.9500000000000001,-6.3,2.9,-3.0,-8.533333333333333,1.6,-3.3,-2.1,-9.666666666666666,-1.9333333333333333,-7.8,-6.4,-3.5,-1.0333333333333332
2012-01-01,-1.4666666666666668,-0.9,-1.7,-1.9,-0.4333333333333333,-2.1,-0.3,0.9,-3.2,2.3,-4.966666666666667,-1.7,1.0,-3.0,-3.4,-1.1666666666666667,-1.9333333333333336,-3.9666666666666663,-0.5,-2.2,-1.5
2013-01-01,-2.5666666666666664,0.8999999999999999,0.0,-5.4,-2.6666666666666665,-2.4,1.7,-0.95,-1.0,2.0,-5.0,2.766666666666666,2.9,-2.1,-6.6,-4.566666666666667,-3.5999999999999996,-1.9666666666666668,-2.7,-0.3,-2.5666666666666664
2014-01-01,0.03333333333333336,-0.9333333333333332,0.7,-2.5,-1.9000000000000001,-0.9,1.5,0.6,-5.5,1.0,-4.1,1.5666666666666667,4.4,-0.6,-4.0,-3.8666666666666667,1.0,-0.033333333333333326,2.6,0.2,1.7
2015-01-01,4.1,3.1,3.6,0.1,3.6999999999999997,2.0,4.3,3.8499999999999996,4.1,2.5,0.16666666666666652,-1.1,4.4,-0.7,-2.0,4.333333333333333,2.466666666666667,2.3333333333333335,2.1,3.3,3.8333333333333335
2016-01-01,1.4666666666666668,2.466666666666667,3.4,0.6,0.16666666666666666,2.0,5.8,4.4,13.1,2.6,-1.7,4.866666666666666,3.1,-1.1,-0.5,1.8333333333333333,2.766666666666666,5.733333333333333,2.5,2.8,0.6666666666666666
2017-01-01,0.16666666666666666,0.9333333333333332,1.2,0.5,0.6333333333333333,0.6,2.4,-2.8,-0.1,-0.2,-0.3333333333333333,5.466666666666666,3.4,-0.8,1.0,-0.8666666666666666,1.0666666666666667,1.0666666666666667,-0.3,0.6,1.3333333333333333
2018-01-01,2.2666666666666666,-1.0333333333333334,0.5,3.5,0.43333333333333335,2.0,3.1,3.1500000000000004,3.0,-0.5,1.3,10.333333333333334,3.2,2.8,3.5,3.8000000000000003,2.2333333333333334,0.8666666666666667,3.1,1.1,1.0999999999999999
2019-01-01,2.1333333333333333,1.4333333333333333,2.2,3.8,3.8666666666666667,3.9,6.4,7.449999999999999,15.5,1.7,2.466666666666667,0.6999999999999998,2.9,7.3,5.4,1.4666666666666668,2.3333333333333335,4.0,1.8,3.9,2.4333333333333336
2020-01-01,6.766666666666667,-1.0666666666666667,-1.3,6.3,11.299999999999999,3.4,5.6,15.45,24.0,-2.0,3.0666666666666664,1.3333333333333333,-2.1,2.8,3.0,14.033333333333333,0.13333333333333333,-0.9666666666666667,3.4,1.7,-0.9000000000000002
2021-01-01,-1.4333333333333333,0.9999999999999999,0.1,1.8,-0.3333333333333333,-0.3,1.9,10.7,-8.8,-2.9,-12.166666666666666,6.733333333333334,7.7,-0.8,-1.0,2.2333333333333334,-0.5,-4.633333333333334,0.3,-1.6,-1.0333333333333332
2022-01-01,-8.4,1.2,0.5,-3.2,4.666666666666667,-1.1,1.9,3.9000000000000004,-6.2,4.0,-9.4,0.5,6.1,-1.0,-3.9,-13.633333333333335,0.3,-1.9333333333333333,1.6,0.2,-1.3666666666666665
2023-01-01,8.166666666666666,4.0,4.7,2.9,4.366666666666666,3.9,2.7,-3.4000000000000004,3.6,6.5,17.2,-1.4666666666666668,2.3,3.1,3.2,12.666666666666666,4.2,4.1000000000000005,3.0,4.4,3.9333333333333336
