Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Residual,Services,Structures
1968-01-01,34133.0,,,,5051834.0,993093.0,5057553.0,,,4920085.0,,,137486.0,-178707.5,3433511.0,959950.0
1968-04-01,59786.0,,,,5102466.0,1015801.0,5142033.0,,,5003173.0,,,138921.0,-170520.0,3472857.0,974197.0
1968-07-01,32636.0,,,,5179081.0,1020490.0,5181859.0,,,5041776.0,,,140140.0,-179832.5,3511189.0,979989.0
1968-10-01,27116.0,,,,5209552.0,1017560.0,5202212.0,,,5060923.0,,,141320.0,-190732.5,3541693.0,989968.0
1969-01-01,45460.0,,,,5263687.0,1049262.0,5283597.0,,,5141566.0,,,142117.0,-171942.0,3549962.0,1002707.0
1969-04-01,37989.0,,,,5289829.0,1041551.0,5299625.0,,,5157164.0,,,142549.0,-184750.0,3600726.0,998653.0
1969-07-01,43899.0,,,,5318917.0,1049127.0,5334600.0,,,5192468.0,,,142266.0,-184850.5,3625432.0,1001526.0
1969-10-01,23776.0,,,,5318093.0,1039923.0,5308556.0,,,5167613.0,,,141097.0,-187423.5,3655677.0,954490.0
1970-01-01,4328.0,,,,5332169.0,1034292.0,5300652.0,,,5162062.0,,,138816.0,-192222.5,3667354.0,947607.0
1970-04-01,20148.0,,,,5320460.0,1043922.0,5308164.0,,,5171907.0,,,136559.0,-180015.5,3672497.0,919331.0
1970-07-01,20250.0,,,,5369814.0,1047711.0,5357077.0,,,5222371.0,,,135096.0,-189624.5,3704376.0,951251.0
1970-10-01,-16829.0,,,,5357740.0,1008306.0,5299672.0,,,5166622.0,,,133439.0,-223332.5,3718444.0,978347.0
1971-01-01,47696.0,,,,5424452.0,1062414.0,5443619.0,,,5310958.0,,,133182.0,-195178.0,3747921.0,995110.0
1971-04-01,40589.0,,,,5460293.0,1058639.0,5473059.0,,,5340367.0,,,133234.0,-207876.0,3767413.0,1034936.0
1971-07-01,38579.0,,,,5509516.0,1068428.0,5518072.0,,,5385170.0,,,133473.0,-209980.0,3788991.0,1050590.0
1971-10-01,-2228.0,,,,5571902.0,1056230.0,5531032.0,,,5397093.0,,,134493.0,-229831.5,3826301.0,1069523.0
1972-01-01,13935.0,,,,5652735.0,1078130.0,5632649.0,,,5496543.0,,,136680.0,-230153.5,3875102.0,1105702.0
1972-04-01,45638.0,,,,5742053.0,1131023.0,5760470.0,,,5623035.0,,,138060.0,-203173.5,3902377.0,1106195.0
1972-07-01,48838.0,,,,5793132.0,1147572.0,5814854.0,,,5676626.0,,,138871.0,-198691.0,3929792.0,1107756.0
1972-10-01,19615.0,,,,5928259.0,1173336.0,5912220.0,,,5772546.0,,,140347.0,-200954.0,3965900.0,1139239.0
1973-01-01,32168.0,,,,6054038.0,1224951.0,6058544.0,,,5917794.0,,,141489.0,-181229.0,3996918.0,1171471.0
1973-04-01,62868.0,,,,6080660.0,1256376.0,6124506.0,,,5983525.0,,,141756.0,-159617.0,4023011.0,1145331.0
